"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia SULLANA (000)",63939,285727,57014,256988,6925,28739
"Casa independiente (001)",63383,283622,56506,255020,6877,28602
"Departamento en edificio (002)",260,988,260,988,,
"Vivienda en quinta (003)",70,281,70,281,,
"Vivienda en casa de vecindad (004)",68,305,68,305,,
"Choza o cabaña (005)",43,127,,,43,127
"Vivienda improvisada (006)",72,286,72,286,,
"Local no dest.para hab. humana (007)",37,106,34,98,3,8
"Otro tipo (008)",6,12,4,10,2,2
