"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CANTA (000)",13324,6342,6982
"Casa independiente (001)",12317,5998,6319
"Departamento en edificio (002)",4,4,
"Vivienda en quinta (003)",66,66,
"Vivienda en casa de vecindad (004)",250,250,
"Choza o cabaña (005)",627,,627
"Vivienda improvisada (006)",6,6,
"Local no dest.para hab. humana (007)",50,18,32
"Otro tipo (008)",4,,4
