"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia RIOJA (000)",36917,31204,2783,1668,1262
"Sin nivel (001)",1809,1702,86,18,3
"Educación inicial (002)",55,43,5,5,2
"Primaria (003)",18080,16550,1137,294,99
"Secundaria (004)",11953,10319,956,363,315
"Superior no univ. incompleta (005)",956,674,108,98,76
"Superior no univ. completa (006)",1641,816,196,344,285
"Superior univ. incompleta (007)",592,373,64,63,92
"Superior univ. completa (008)",1831,727,231,483,390
"De 06 a 14 años (010)",1401,1248,121,29,3
"Sin nivel (011)",53,51,1,1,
"Educación inicial (012)",11,9,2,,
"Primaria (013)",990,875,96,19,
"Secundaria (014)",347,313,22,9,3
"De 15 a 29 años (020)",13599,11683,1095,495,326
"Sin nivel (021)",248,232,15,1,
"Educación inicial (022)",27,22,1,4,
"Primaria (023)",5277,4844,323,90,20
"Secundaria (024)",6301,5491,526,178,106
"Superior no univ. incompleta (025)",486,372,57,39,18
"Superior no univ. completa (026)",493,291,64,69,69
"Superior univ. incompleta (027)",255,179,26,15,35
"Superior univ. completa (028)",512,252,83,99,78
"De 30 a 44 años (030)",12605,10116,1004,853,632
"Sin nivel (031)",467,435,21,10,1
"Educación inicial (032)",17,12,2,1,2
"Primaria (033)",5949,5403,399,111,36
"Secundaria (034)",3783,3234,300,120,129
"Superior no univ. incompleta (035)",335,206,38,50,41
"Superior no univ. completa (036)",862,389,104,217,152
"Superior univ. incompleta (037)",231,129,24,40,38
"Superior univ. completa (038)",961,308,116,304,233
"De 45 a 64 años (040)",7753,6692,496,278,287
"Sin nivel (041)",689,644,40,4,1
"Primaria (043)",4805,4426,273,68,38
"Secundaria (044)",1431,1199,101,56,75
"Superior no univ. incompleta (045)",125,87,12,9,17
"Superior no univ. completa (046)",270,127,26,57,60
"Superior univ. incompleta (047)",97,58,12,8,19
"Superior univ. completa (048)",336,151,32,76,77
"De 65 y más años (050)",1559,1465,67,13,14
"Sin nivel (051)",352,340,9,2,1
"Primaria (053)",1059,1002,46,6,5
"Secundaria (054)",91,82,7,,2
"Superior no univ. incompleta (055)",10,9,1,,
"Superior no univ. completa (056)",16,9,2,1,4
"Superior univ. incompleta (057)",9,7,2,,
"Superior univ. completa (058)",22,16,,4,2
,,,,,
