"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TAYACAJA (000)",25724,24466,87,4008,4051,3570,5852,4184,2091,623,1258,99920
"De 12 a 14 años (001)",62,16,1,14,1,,,,,,46,16
"De 15 a 19 años (002)",820,723,3,595,106,14,5,,,,97,869
"De 20 a 24 años (003)",2981,2555,9,1349,848,269,76,4,,,426,4204
"De 25 a 29 años (004)",3265,2981,8,710,1019,754,443,42,5,,284,7194
"De 30 a 34 años (005)",3006,2859,7,355,639,716,889,235,15,3,147,9285
"De 35 a 39 años (006)",2959,2863,7,219,441,488,1025,549,120,14,96,11761
"De 40 a 44 años (007)",2612,2582,6,123,261,336,813,649,324,70,30,12912
"De 45 a 49 años (008)",2258,2228,6,120,176,232,586,624,370,114,30,12156
"De 50 y más años (009)",7761,7659,40,523,560,761,2015,2081,1257,422,102,41523
"Sin nivel (010)",8844,8667,46,644,772,961,2328,2225,1273,418,177,45057
"De 12 a 14 años (011)",1,,,,,,,,,,1,
"De 15 a 19 años (012)",34,34,1,17,11,4,1,,,,,55
"De 20 a 24 años (013)",154,129,,45,41,24,18,1,,,25,282
"De 25 a 29 años (014)",265,250,,36,64,65,66,15,4,,15,771
"De 30 a 34 años (015)",425,397,1,39,71,89,135,55,7,,28,1452
"De 35 a 39 años (016)",618,597,2,47,69,71,197,157,47,7,21,2753
"De 40 a 44 años (017)",803,792,5,33,50,80,228,215,143,38,11,4395
"De 45 a 49 años (018)",955,946,2,50,76,79,225,270,175,69,9,5425
"De 50 y más años (019)",5589,5522,35,377,390,549,1458,1512,897,304,67,29924
"Educacion Inicial (020)",54,47,,6,12,11,10,8,,,7,157
"De 12 a 14 años (021)",1,,,,,,,,,,1,
