"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CANTA (000)",6008,334,7,1873,2599,292,267,220,416
"Agric., ganadería, caza y silvicultura (001)",3684,272,4,1437,1600,131,66,76,98
"Pesca (002)",16,,,3,7,3,,1,2
"Explotación de minas y canteras (003)",133,1,,34,79,6,4,2,7
"Industrias manufactureras (004)",112,2,,29,51,11,3,7,9
"Suministro de electricidad, gas y agua (005)",12,,,1,8,,1,,2
"Construcción (006)",249,5,,59,144,15,10,7,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",461,12,1,115,224,25,27,25,32
"Venta, mant.y rep. veh.autom.y motoc. (008)",29,,,4,12,1,,6,6
"Comercio al por mayor (009)",22,,,1,13,2,1,2,3
"Comercio al por menor (010)",410,12,1,110,199,22,26,17,23
"Hoteles y restaurantes (011)",283,11,,67,129,17,25,18,16
"Trans., almac. y comunicaciones (012)",210,6,,23,122,18,18,15,8
"Intermediación financiera (013)",6,,,,1,1,3,,1
"Activid.inmobil., empres. y de alquiler (014)",98,2,,18,23,7,10,12,26
"Admin.pub. y defensa; p. segur.soc.afil (015)",173,,,1,46,13,48,22,43
"Enseñanza (016)",191,,,1,11,7,24,15,133
"Servicios sociales y de salud (017)",49,,,1,10,7,12,7,12
"Otras activ. serv.comun.soc y personales (018)",119,4,1,29,56,11,5,5,8
"Hogares privados con servicio doméstico (019)",81,6,1,25,36,7,3,,3
"Actividad economica no especificada (021)",131,13,,30,52,13,8,8,7
"Hombres (022)",4072,162,3,1218,1926,212,138,159,254
"Agric., ganadería, caza y silvicultura (023)",2711,141,2,967,1293,111,47,67,83
"Pesca (024)",16,,,3,7,3,,1,2
"Explotación de minas y canteras (025)",117,1,,27,71,6,4,2,6
"Industrias manufactureras (026)",84,1,,22,41,7,2,3,8
"Suministro de electricidad, gas y agua (027)",10,,,1,7,,,,2
"Construcción (028)",243,4,,58,142,15,9,6,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",206,2,1,54,87,15,10,17,20
"Venta, mant.y rep. veh.autom.y motoc. (030)",27,,,4,10,1,,6,6
"Comercio al por mayor (031)",10,,,1,5,2,1,,1
"Comercio al por menor (032)",169,2,1,49,72,12,9,11,13
"Hoteles y restaurantes (033)",72,,,13,33,2,5,12,7
"Trans., almac. y comunicaciones (034)",202,6,,23,120,17,16,15,5
"Intermediación financiera (035)",4,,,,1,1,1,,1
"Activid.inmobil., empres. y de alquiler (036)",72,2,,13,19,4,7,8,19
"Admin.pub. y defensa; p. segur.soc.afil (037)",105,,,1,32,9,26,11,26
"Enseñanza (038)",78,,,,7,3,7,9,52
"Servicios sociales y de salud (039)",15,,,1,4,3,1,2,4
"Otras activ. serv.comun.soc y personales (040)",79,,,19,40,9,1,4,6
"Hogares privados con servicio doméstico (041)",5,1,,2,1,1,,,
"Actividad economica no especificada (043)",53,4,,14,21,6,2,2,4
"Mujeres (044)",1936,172,4,655,673,80,129,61,162
"Agric., ganadería, caza y silvicultura (045)",973,131,2,470,307,20,19,9,15
