"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia LAMAS (000)",79075,77543,1109,423
"Hombres (001)",41489,40833,423,233
"Mujeres (002)",37586,36710,686,190
"Menores de 1 año (003)",1767,1448,227,92
"Hombres (004)",859,708,103,48
"Mujeres (005)",908,740,124,44
"De 1 a 5 años (006)",9467,8693,474,300
"Hombres (007)",4773,4370,231,172
"Mujeres (008)",4694,4323,243,128
"De 6 a 14 años (009)",16812,16770,27,15
"Hombres (010)",8656,8631,16,9
"Mujeres (011)",8156,8139,11,6
"De 15 a 29 años (012)",21390,21346,40,4
"Hombres (013)",11490,11474,13,3
"Mujeres (014)",9900,9872,27,1
"De 30 a 44 años (015)",15050,14999,50,1
"Hombres (016)",8101,8091,10,
"Mujeres (017)",6949,6908,40,1
"De 45 a 64 años (018)",10595,10497,93,5
"Hombres (019)",5656,5632,24,
"Mujeres (020)",4939,4865,69,5
"De 65 a más años (021)",3994,3790,198,6
"Hombres (022)",1954,1927,26,1
"Mujeres (023)",2040,1863,172,5
,,,,
"URBANA (024)",37822,37206,426,190
"Hombres (025)",19357,19104,149,104
"Mujeres (026)",18465,18102,277,86
"Menores de 1 año (027)",710,580,95,35
"Hombres (028)",339,279,42,18
"Mujeres (029)",371,301,53,17
"De 1 a 5 años (030)",3833,3511,182,140
"Hombres (031)",1934,1774,81,79
"Mujeres (032)",1899,1737,101,61
"De 6 a 14 años (033)",7441,7423,10,8
"Hombres (034)",3754,3745,4,5
"Mujeres (035)",3687,3678,6,3
"De 15 a 29 años (036)",9917,9907,9,1
"Hombres (037)",5197,5191,5,1
"Mujeres (038)",4720,4716,4,
"De 30 a 44 años (039)",7674,7661,12,1
"Hombres (040)",3952,3950,2,
"Mujeres (041)",3722,3711,10,1
"De 45 a 64 años (042)",5770,5741,29,
"Hombres (043)",3010,3006,4,
"Mujeres (044)",2760,2735,25,
"De 65 a más años (045)",2477,2383,89,5
"Hombres (046)",1171,1159,11,1
"Mujeres (047)",1306,1224,78,4
,,,,
"RURAL (048)",41253,40337,683,233
"Hombres (049)",22132,21729,274,129
"Mujeres (050)",19121,18608,409,104
"Menores de 1 año (051)",1057,868,132,57
"Hombres (052)",520,429,61,30
"Mujeres (053)",537,439,71,27
"De 1 a 5 años (054)",5634,5182,292,160
"Hombres (055)",2839,2596,150,93
"Mujeres (056)",2795,2586,142,67
"De 6 a 14 años (057)",9371,9347,17,7
"Hombres (058)",4902,4886,12,4
"Mujeres (059)",4469,4461,5,3
"De 15 a 29 años (060)",11473,11439,31,3
"Hombres (061)",6293,6283,8,2
"Mujeres (062)",5180,5156,23,1
"De 30 a 44 años (063)",7376,7338,38,
"Hombres (064)",4149,4141,8,
"Mujeres (065)",3227,3197,30,
"De 45 a 64 años (066)",4825,4756,64,5
"Hombres (067)",2646,2626,20,
"Mujeres (068)",2179,2130,44,5
"De 65 a más años (069)",1517,1407,109,1
"Hombres (070)",783,768,15,
"Mujeres (071)",734,639,94,1
