"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia OTUZCO (000)",88633,21010,67623
"Casa independiente (001)",87585,20502,67083
"Departamento en edificio (002)",55,55,
"Vivienda en quinta (003)",123,123,
"Vivienda en casa de vecindad (004)",307,307,
"Choza o cabaña (005)",532,,532
"Vivienda improvisada (006)",12,12,
"Local no dest.para hab. humana (007)",6,5,1
"Otro tipo (008)",13,6,7
