"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia PAUCARTAMBO (000)",15986,845,1347,9191,197,3792,119,495
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",27,25,,,2,,,
"Profes., científicos e intelectuales (002)",387,363,,16,3,5,,
"Técnicos de nivel medio y trab. asimilados (003)",108,72,,31,5,,,
"Jefes y empleados de oficina (004)",101,98,,,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",670,67,5,469,10,119,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7784,,,7639,145,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",651,,77,492,14,68,,
"Obreros construc.,conf.,papel, fab., instr. (008)",527,39,248,209,14,17,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",4982,116,987,234,1,3525,119,
"Otra (010)",43,43,,,,,,
"Ocupaciñn no especificada (011)",211,22,30,101,3,55,,
"Desocupado (012)",495,,,,,,,495
"Hombres (013)",10820,508,1106,7412,156,1234,16,388
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",24,22,,,2,,,
"Profes., científicos e intelectuales (015)",182,172,,6,3,1,,
"Técnicos de nivel medio y trab. asimilados (016)",66,45,,18,3,,,
"Jefes y empleados de oficina (017)",70,67,,,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",221,39,2,150,4,26,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",6904,,,6780,124,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",242,,66,162,5,9,,
"Obreros construc.,conf.,papel, fab., instr. (021)",509,39,246,195,12,17,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",2090,69,772,64,1,1168,16,
"Otra (023)",43,43,,,,,,
"Ocupaciñn no especificada (024)",81,12,20,37,2,10,,
"Desocupado (025)",388,,,,,,,388
"Mujeres (026)",5166,337,241,1779,41,2558,103,107
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",3,3,,,,,,
"Profes., científicos e intelectuales (028)",205,191,,10,,4,,
"Técnicos de nivel medio y trab. asimilados (029)",42,27,,13,2,,,
"Jefes y empleados de oficina (030)",31,31,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",449,28,3,319,6,93,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",880,,,859,21,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",409,,11,330,9,59,,
"Obreros construc.,conf.,papel, fab., instr. (034)",18,,2,14,2,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",2892,47,215,170,,2357,103,
"Ocupaciñn no especificada (037)",130,10,10,64,1,45,,
"Desocupado (038)",107,,,,,,,107
,,,,,,,,
"URBANA (039)",3144,601,424,1475,57,319,62,206
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",17,15,,,2,,,
"Profes., científicos e intelectuales (041)",289,271,,14,2,2,,
"Técnicos de nivel medio y trab. asimilados (042)",84,57,,23,4,,,
"Jefes y empleados de oficina (043)",80,78,,,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",474,37,5,343,8,81,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",706,,,682,24,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",141,,28,106,3,4,,
"Obreros construc.,conf.,papel, fab., instr. (047)",248,18,111,104,10,5,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",755,72,261,159,1,200,62,
"Otra (049)",43,43,,,,,,
"Ocupaciñn no especificada (050)",101,10,19,44,3,25,,
"Desocupado (051)",206,,,,,,,206
"Hombres (052)",2010,351,369,938,42,140,7,163
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",15,13,,,2,,,
"Profes., científicos e intelectuales (054)",128,121,,5,2,,,
"Técnicos de nivel medio y trab. asimilados (055)",50,34,,14,2,,,
"Jefes y empleados de oficina (056)",55,53,,,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",154,21,2,109,2,20,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",598,,,578,20,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",118,,26,85,3,4,,
"Obreros construc.,conf.,papel, fab., instr. (060)",241,18,109,101,8,5,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",406,43,221,31,1,103,7,
"Otra (062)",43,43,,,,,,
"Ocupaciñn no especificada (063)",39,5,11,15,2,6,,
"Desocupado (064)",163,,,,,,,163
"Mujeres (065)",1134,250,55,537,15,179,55,43
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",2,2,,,,,,
"Profes., científicos e intelectuales (067)",161,150,,9,,2,,
"Técnicos de nivel medio y trab. asimilados (068)",34,23,,9,2,,,
"Jefes y empleados de oficina (069)",25,25,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",320,16,3,234,6,61,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",108,,,104,4,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",23,,2,21,,,,
"Obreros construc.,conf.,papel, fab., instr. (073)",7,,2,3,2,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",349,29,40,128,,97,55,
"Ocupaciñn no especificada (076)",62,5,8,29,1,19,,
"Desocupado (077)",43,,,,,,,43
,,,,,,,,
"RURAL (078)",12842,244,923,7716,140,3473,57,289
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",10,10,,,,,,
"Profes., científicos e intelectuales (080)",98,92,,2,1,3,,
"Técnicos de nivel medio y trab. asimilados (081)",24,15,,8,1,,,
"Jefes y empleados de oficina (082)",21,20,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",196,30,,126,2,38,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",7078,,,6957,121,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",510,,49,386,11,64,,
"Obreros construc.,conf.,papel, fab., instr. (086)",279,21,137,105,4,12,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",4227,44,726,75,,3325,57,
"Ocupaciñn no especificada (089)",110,12,11,57,,30,,
"Desocupado (090)",289,,,,,,,289
"Hombres (091)",8810,157,737,6474,114,1094,9,225
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",9,9,,,,,,
"Profes., científicos e intelectuales (093)",54,51,,1,1,1,,
"Técnicos de nivel medio y trab. asimilados (094)",16,11,,4,1,,,
"Jefes y empleados de oficina (095)",15,14,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",67,18,,41,2,6,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",6306,,,6202,104,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",124,,40,77,2,5,,
