"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",9323,8867,2591,1261,1335,966,1233,744,438,299,456,24060
"De 12 a 14 años (001)",620,615,611,4,,,,,,,5,4
"De 15 a 19 años (002)",1036,1016,900,102,13,1,,,,,20,131
"De 20 a 24 años (003)",1082,946,482,328,121,11,3,1,,,136,623
"De 25 a 29 años (004)",978,864,195,301,251,82,34,1,,,114,1197
"De 30 a 34 años (005)",861,796,105,196,248,160,73,13,,1,65,1577
"De 35 a 39 años (006)",760,720,55,115,201,176,131,38,4,,40,1876
"De 40 a 44 años (007)",688,667,45,51,162,144,183,54,23,5,21,2186
"De 45 a 49 años (008)",613,607,39,43,113,108,186,83,26,9,6,2257
"De 50 y más años (009)",2685,2636,159,121,226,284,623,554,385,284,49,14209
"Sin nivel (010)",1241,1207,105,76,118,130,246,229,167,136,34,6205
"De 12 a 14 años (011)",8,8,8,,,,,,,,,
"De 15 a 19 años (012)",9,9,8,1,,,,,,,,1
"De 20 a 24 años (013)",8,6,1,4,1,,,,,,2,6
"De 25 a 29 años (014)",18,14,4,2,7,1,,,,,4,19
"De 30 a 34 años (015)",59,49,5,9,9,13,11,1,,1,10,132
"De 35 a 39 años (016)",62,61,2,7,16,17,8,11,,,1,194
"De 40 a 44 años (017)",69,68,4,4,5,13,19,13,8,2,1,307
"De 45 a 49 años (018)",79,79,6,2,10,12,25,12,9,3,,355
"De 50 y más años (019)",929,913,67,47,70,74,183,192,150,130,16,5191
"Educacion Inicial (020)",20,19,11,1,3,4,,,,,1,19
"De 12 a 14 años (021)",7,7,7,,,,,,,,,
"De 15 a 19 años (022)",2,2,2,,,,,,,,,
"De 20 a 24 años (023)",4,3,1,1,1,,,,,,1,3
