"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia ABANCAY (000)",25439,95842,15943,60601,9496,35241
"Casa independiente (001)",22213,85963,13039,51599,9174,34364
"Departamento en edificio (002)",284,929,284,929,,
"Vivienda en quinta (003)",137,417,137,417,,
"Vivienda en casa de vecindad (004)",2433,7522,2433,7522,,
"Choza o cabaña (005)",317,869,,,317,869
"Vivienda improvisada (006)",8,31,8,31,,
"Local no dest.para hab. humana (007)",34,93,30,86,4,7
"Otro tipo (008)",13,18,12,17,1,1
