"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia FERREÑAFE (000)",25116,165,574,1465,2537,4885,8830,6660
"De 12 a 14 años (001)",47,,,,,,4,43
"De 15 a 19 años (002)",778,,,,,,460,318
"De 20 a 24 años (003)",2668,,,,,3,1575,1090
"De 25 a 29 años (004)",3175,,,,,126,2035,1014
"De 30 a 34 años (005)",3099,,,,,431,1932,736
"De 35 a 39 años (006)",3074,,,,27,926,1514,607
"De 40 a 44 años (007)",2684,,,1,147,1119,867,550
"De 45 a 49 años (008)",2247,,,10,420,1046,352,419
"De 50 y más años (009)",7344,165,574,1454,1943,1234,91,1883
"Conviviente (010)",9070,5,41,168,389,1492,4810,2165
"De 12 a 14 años (011)",43,,,,,,3,40
"De 15 a 19 años (012)",543,,,,,,307,236
"De 20 a 24 años (013)",1487,,,,,1,1045,441
"De 25 a 29 años (014)",1628,,,,,57,1220,351
"De 30 a 34 años (015)",1376,,,,,149,980,247
"De 35 a 39 años (016)",1247,,,,7,333,701,206
"De 40 a 44 años (017)",883,,,1,29,317,375,161
"De 45 a 49 años (018)",617,,,1,71,282,142,121
"De 50 y más años (019)",1246,5,41,166,282,353,37,362
"Separado(a) (020)",1719,9,28,91,210,422,521,438
"De 15 a 19 años (022)",68,,,,,,51,17
"De 20 a 24 años (023)",164,,,,,1,107,56
"De 25 a 29 años (024)",213,,,,,19,123,71
"De 30 a 34 años (025)",242,,,,,58,121,63
"De 35 a 39 años (026)",236,,,,3,113,63,57
"De 40 a 44 años (027)",195,,,,27,82,39,47
"De 45 a 49 años (028)",175,,,1,46,85,15,28
"De 50 y más años (029)",426,9,28,90,134,64,2,99
"Casado(a) (030)",9946,29,196,810,1555,2571,3100,1685
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",116,,,,,,66,50
"De 20 a 24 años (033)",463,,,,,1,341,121
"De 25 a 29 años (034)",800,,,,,35,601,164
"De 30 a 34 años (035)",1116,,,,,178,761,177
"De 35 a 39 años (036)",1275,,,,11,420,690,154
"De 40 a 44 años (037)",1307,,,,72,632,426,177
"De 45 a 49 años (038)",1185,,,5,257,604,171,148
"De 50 y más años (039)",3683,29,196,805,1215,701,44,693
"Viudo(a) (040)",1965,117,293,356,297,195,80,627
"De 15 a 19 años (042)",2,,,,,,,2
"De 20 a 24 años (043)",9,,,,,,4,5
"De 25 a 29 años (044)",13,,,,,,6,7
"De 30 a 34 años (045)",24,,,,,8,10,6
"De 35 a 39 años (046)",56,,,,2,18,22,14
"De 40 a 44 años (047)",79,,,,7,32,13,27
"De 45 a 49 años (048)",115,,,2,18,45,18,32
