"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TACNA (000)",258846,242401,16445
"Casa independiente (001)",232477,220923,11554
"Departamento en edificio (002)",6748,6748,
"Vivienda en quinta (003)",1222,1222,
"Vivienda en casa de vecindad (004)",1386,1386,
"Choza o cabaña (005)",4849,,4849
"Vivienda improvisada (006)",11788,11788,
"Local no dest.para hab. humana (007)",306,294,12
"Otro tipo (008)",70,40,30
