"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CASMA (000)",15991,39630,36328,,695,91.7,1.8
"De 12 a 14 años (001)",1446,6,6,,3,100,50
"De 15 a 19 años (002)",2082,339,334,87,98.5,25.7,
"De 20 a 24 años (003)",1749,1393,1377,170,98.9,12.2,
"De 25 a 29 años (004)",1684,2336,2283,183,97.7,7.8,
"De 30 a 34 años (005)",1577,3218,3134,129,97.4,4,
"De 35 a 39 años (006)",1500,4106,3971,78,96.7,1.9,
"De 40 a 44 años (007)",1310,4334,4127,39,95.2,0.9,
"De 45 a 49 años (008)",1108,4406,4098,6,93,0.1,
"De 50 y más años (009)",3535,19492,16998,,87.2,,
"Conviviente (010)",5436,14997,14124,476,94.2,3.2,
"De 12 a 14 años (011)",8,,,,,,
"De 15 a 19 años (012)",381,247,244,58,98.8,23.5,
"De 20 a 24 años (013)",897,1057,1048,138,99.1,13.1,
"De 25 a 29 años (014)",966,1631,1594,136,97.7,8.3,
"De 30 a 34 años (015)",828,1974,1915,83,97,4.2,
"De 35 a 39 años (016)",716,2239,2165,38,96.7,1.7,
"De 40 a 44 años (017)",545,2053,1945,20,94.7,1,
"De 45 a 49 años (018)",403,1770,1631,3,92.1,0.2,
"De 50 y más años (019)",692,4026,3582,,89,,
"Separado(a) (020)",989,3094,2874,44,92.9,1.4,
"De 12 a 14 años (021)",4,1,1,1,100,100,
"De 15 a 19 años (022)",33,28,28,7,100,25,
"De 20 a 24 años (023)",78,101,98,7,97,6.9,
"De 25 a 29 años (024)",110,183,180,14,98.4,7.7,
"De 30 a 34 años (025)",132,238,235,8,98.7,3.4,
"De 35 a 39 años (026)",113,301,288,4,95.7,1.3,
"De 40 a 44 años (027)",128,375,366,3,97.6,0.8,
"De 45 a 49 años (028)",109,437,408,,93.4,,
"De 50 y más años (029)",282,1430,1270,,88.8,,
"Casado(a) (030)",3714,15227,13889,141,91.2,0.9,
"De 15 a 19 años (032)",21,19,17,9,89.5,47.4,
"De 20 a 24 años (033)",114,134,131,15,97.8,11.2,
"De 25 a 29 años (034)",237,394,383,28,97.2,7.1,
"De 30 a 34 años (035)",368,811,795,36,98,4.4,
"De 35 a 39 años (036)",482,1351,1307,35,96.7,2.6,
"De 40 a 44 años (037)",474,1642,1565,15,95.3,0.9,
