"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PALPA (000)",5170,89,1589,1798,1378,316
"Agric., ganadería, caza y silvicultura (001)",2403,46,761,756,641,199
"Pesca (002)",5,,1,2,2,
"Explotación de minas y canteras (003)",303,6,135,110,49,3
"Industrias manufactureras (004)",133,4,49,37,36,7
"Suministro de electricidad, gas y agua (005)",8,,,4,3,1
"Construcción (006)",175,2,49,71,47,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",678,17,159,245,208,49
"Venta, mant.y rep. veh.autom.y motoc. (008)",64,1,25,25,11,2
"Comercio al por mayor (009)",30,,10,9,8,3
"Comercio al por menor (010)",584,16,124,211,189,44
"Hoteles y restaurantes (011)",195,9,66,64,48,8
"Trans., almac. y comunicaciones (012)",258,,107,85,61,5
"Intermediación financiera (013)",12,,8,3,1,
"Activid.inmobil., empres. y alquileres (014)",130,,39,54,34,3
"Admin.pub. y defensa; p. segur.soc.afil (015)",148,,35,60,48,5
"Enseñanza (016)",281,,52,142,82,5
"Servicios sociales y de salud (017)",118,,24,52,41,1
"Otras activ. serv.comun.soc y personales (018)",95,3,28,34,28,2
"Hogares privados con servicio doméstico (019)",87,2,29,34,18,4
"Actividad economica no especificada (021)",141,,47,45,31,18
"Hombres (022)",3444,61,1080,1125,933,245
"Agric., ganadería, caza y silvicultura (023)",1785,33,562,524,495,171
"Pesca (024)",5,,1,2,2,
"Explotación de minas y canteras (025)",278,5,121,103,46,3
"Industrias manufactureras (026)",93,4,37,21,27,4
"Suministro de electricidad, gas y agua (027)",7,,,3,3,1
"Construcción (028)",172,1,48,70,47,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",311,12,73,115,88,23
"Venta, mant.y rep. veh.autom.y motoc. (030)",58,1,23,22,10,2
"Comercio al por mayor (031)",21,,8,6,5,2
"Comercio al por menor (032)",232,11,42,87,73,19
"Hoteles y restaurantes (033)",49,5,11,12,14,7
"Trans., almac. y comunicaciones (034)",237,,93,80,59,5
"Intermediación financiera (035)",4,,1,2,1,
"Activid.inmobil., empres. y alquileres (036)",102,,25,46,28,3
"Admin.pub. y defensa; p. segur.soc.afil (037)",104,,25,41,33,5
"Enseñanza (038)",93,,14,40,36,3
"Servicios sociales y de salud (039)",50,,10,18,22,
"Otras activ. serv.comun.soc y personales (040)",58,1,20,19,17,1
"Hogares privados con servicio doméstico (041)",13,,6,5,1,1
