"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CHUCUITO (000)",46602,108888,99428,,2057,91.3,1.9
"De 12 a 14 años (001)",4381,12,12,,1,100,8.3
"De 15 a 19 años (002)",6484,724,698,248,96.4,34.3,
"De 20 a 24 años (003)",5680,4021,3913,596,97.3,14.8,
"De 25 a 29 años (004)",5257,7440,7227,540,97.1,7.3,
"De 30 a 34 años (005)",4109,9026,8656,332,95.9,3.7,
"De 35 a 39 años (006)",3888,11322,10775,240,95.2,2.1,
"De 40 a 44 años (007)",3175,11516,10834,87,94.1,0.8,
"De 45 a 49 años (008)",2810,11555,10757,12,93.1,0.1,
"De 50 y más años (009)",10818,53272,46556,1,87.4,,
"Sin nivel (010)",6772,32792,28354,46,86.5,0.1,
"De 12 a 14 años (011)",15,1,1,,100,,
"De 15 a 19 años (012)",42,15,15,5,100,33.3,
"De 20 a 24 años (013)",52,28,28,5,100,17.9,
"De 25 a 29 años (014)",84,124,121,9,97.6,7.3,
"De 30 a 34 años (015)",115,275,258,8,93.8,2.9,
"De 35 a 39 años (016)",157,495,458,6,92.5,1.2,
"De 40 a 44 años (017)",274,1208,1147,11,95,0.9,
"De 45 a 49 años (018)",408,1895,1724,2,91,0.1,
"De 50 y más años (019)",5625,28751,24602,,85.6,,
"Educacion Inicial (020)",41,73,56,5,76.7,6.8,
"De 12 a 14 años (021)",5,,,,,,
"De 15 a 19 años (022)",4,,,,,,
"De 20 a 24 años (023)",7,2,2,1,100,50,
"De 25 a 29 años (024)",9,18,18,,100,,
"De 30 a 34 años (025)",11,44,27,2,61.4,4.5,
"De 35 a 39 años (026)",5,9,9,2,100,22.2,
"Primaria (030)",15797,50550,46655,664,92.3,1.3,
"De 12 a 14 años (031)",1427,3,3,,100,,
"De 15 a 19 años (032)",682,182,177,56,97.3,30.8,
"De 20 a 24 años (033)",960,1045,1013,125,96.9,12,
"De 25 a 29 años (034)",1349,2480,2393,153,96.5,6.2,
"De 30 a 34 años (035)",1423,3722,3567,136,95.8,3.7,
"De 35 a 39 años (036)",1827,6124,5810,127,94.9,2.1,
"De 40 a 44 años (037)",1861,7291,6845,57,93.9,0.8,
"De 45 a 49 años (038)",1793,7684,7166,9,93.3,0.1,
"De 50 y más años (039)",4475,22019,19681,1,89.4,,
