"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ACOBAMBA (000)",1175,18,570,354,178,55
"Conviviente (001)",169,,91,66,9,3
"Separado(a) (002)",22,,8,10,2,2
"Casado(a) (003)",521,,104,225,147,45
"Viudo(a) (004)",20,,1,4,11,4
"Divorciado(a) (005)",6,,1,1,4,
"Soltero(a) (006)",437,18,365,48,5,1
"Hombres (008)",920,11,409,295,156,49
"Conviviente (009)",138,,70,58,8,2
"Separado(a) (010)",12,,4,5,1,2
"Casado(a) (011)",459,,90,193,134,42
"Viudo(a) (012)",11,,1,3,5,2
"Divorciado(a) (013)",5,,1,1,3,
"Soltero(a) (014)",295,11,243,35,5,1
"Mujeres (016)",255,7,161,59,22,6
"Conviviente (017)",31,,21,8,1,1
"Separado(a) (018)",10,,4,5,1,
"Casado(a) (019)",62,,14,32,13,3
"Viudo(a) (020)",9,,,1,6,2
"Divorciado(a) (021)",1,,,,1,
"Soltero(a) (022)",142,7,122,13,,
,,,,,,
"AREA URBANA (024)",582,5,253,198,97,29
"Conviviente (025)",98,,44,43,9,2
"Separado(a) (026)",16,,3,9,2,2
"Casado(a) (027)",238,,33,112,72,21
"Viudo(a) (028)",9,,,,6,3
"Divorciado(a) (029)",4,,,1,3,
"Soltero(a) (030)",217,5,173,33,5,1
"Hombres (032)",448,5,176,157,83,27
"Conviviente (033)",79,,31,38,8,2
"Separado(a) (034)",8,,1,4,1,2
"Casado(a) (035)",202,,27,90,65,20
"Viudo(a) (036)",4,,,,2,2
"Divorciado(a) (037)",3,,,1,2,
"Soltero(a) (038)",152,5,117,24,5,1
"Mujeres (040)",134,,77,41,14,2
"Conviviente (041)",19,,13,5,1,
"Separado(a) (042)",8,,2,5,1,
"Casado(a) (043)",36,,6,22,7,1
"Viudo(a) (044)",5,,,,4,1
"Divorciado(a) (045)",1,,,,1,
"Soltero(a) (046)",65,,56,9,,
,,,,,,
"AREA RURAL (048)",593,13,317,156,81,26
"Conviviente (049)",71,,47,23,,1
"Separado(a) (050)",6,,5,1,,
"Casado(a) (051)",283,,71,113,75,24
"Viudo(a) (052)",11,,1,4,5,1
"Divorciado(a) (053)",2,,1,,1,
"Soltero(a) (054)",220,13,192,15,,
"Hombres (056)",472,6,233,138,73,22
"Conviviente (057)",59,,39,20,,
"Separado(a) (058)",4,,3,1,,
"Casado(a) (059)",257,,63,103,69,22
"Viudo(a) (060)",7,,1,3,3,
"Divorciado(a) (061)",2,,1,,1,
"Soltero(a) (062)",143,6,126,11,,
"Mujeres (064)",121,7,84,18,8,4
"Conviviente (065)",12,,8,3,,1
"Separado(a) (066)",2,,2,,,
"Casado(a) (067)",26,,8,10,6,2
"Viudo(a) (068)",4,,,1,2,1
"Soltero(a) (070)",77,7,66,4,,
