"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHUCUITO (000)",43840,3156,28,14676,19884,1526,2148,609,1813
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",62,1,,9,12,5,7,5,23
"Profes., científicos e intelectuales (002)",1948,,,,99,119,601,79,1050
"Técnicos de nivel medio ytrab.asimilados (003)",490,2,,34,127,71,158,30,68
"Jefes y empleados de oficina (004)",579,,,6,177,69,167,42,118
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",4262,135,2,1078,2398,243,204,94,108
"Agricult.trabaj. calif.agrop. y pesquros (006)",18018,1736,4,7951,7428,310,340,97,152
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",1721,80,3,414,926,104,133,27,34
"Obreros. construc., conf., papel, fab., instr (008)",3011,25,2,562,1906,201,168,57,90
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",12729,1109,14,4355,6414,336,280,116,105
"Otra (010)",246,,,1,57,31,67,44,46
"Ocupación no especificada (011)",774,68,3,266,340,37,23,18,19
"Hombres (012)",27164,969,12,8264,13354,1133,1580,467,1385
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",53,,,6,11,5,6,4,21
"Profes., científicos e intelectuales (014)",1439,,,,61,91,441,60,786
"Técnicos de nivel medio ytrab.asimilados (015)",334,2,,13,85,60,99,21,54
"Jefes y empleados de oficina (016)",407,,,4,127,51,108,32,85
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",1505,17,1,258,913,105,98,52,61
"Agricult.trabaj. calif.agrop. y pesquros (018)",13248,740,2,5768,5952,262,301,90,133
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",971,12,1,169,576,73,96,19,25
"Obreros. construc., conf., papel, fab., instr (020)",2945,22,2,538,1876,199,165,55,88
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",5652,166,5,1409,3505,231,185,80,71
"Otra (022)",244,,,1,57,31,66,43,46
"Ocupación no especificada (023)",366,10,1,98,191,25,15,11,15
"Mujeres (024)",16676,2187,16,6412,6530,393,568,142,428
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",9,1,,3,1,,1,1,2
"Profes., científicos e intelectuales (026)",509,,,,38,28,160,19,264
"Técnicos de nivel medio ytrab.asimilados (027)",156,,,21,42,11,59,9,14
"Jefes y empleados de oficina (028)",172,,,2,50,18,59,10,33
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",2757,118,1,820,1485,138,106,42,47
"Agricult.trabaj. calif.agrop. y pesquros (030)",4770,996,2,2183,1476,48,39,7,19
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",750,68,2,245,350,31,37,8,9
"Obreros. construc., conf., papel, fab., instr (032)",66,3,,24,30,2,3,2,2
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",7077,943,9,2946,2909,105,95,36,34
"Otra (034)",2,,,,,,1,1,
"Ocupación no especificada (035)",408,58,2,168,149,12,8,7,4
,,,,,,,,,
"URBANA (036)",12309,395,1,2538,5900,827,1171,377,1100
