"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",18308,46545,41312,,695,88.8,1.5
"De 12 a 14 años (001)",1698,14,13,,,92.9,
"De 15 a 19 años (002)",2708,256,253,64,98.8,25,
"De 20 a 24 años (003)",2270,1311,1271,175,96.9,13.3,
"De 25 a 29 años (004)",1935,2573,2462,176,95.7,6.8,
"De 30 a 34 años (005)",1563,3581,3404,126,95.1,3.5,
"De 35 a 39 años (006)",1574,5106,4784,96,93.7,1.9,
"De 40 a 44 años (007)",1249,5165,4753,46,92,0.9,
"De 45 a 49 años (008)",1161,5368,4911,11,91.5,0.2,
"De 50 y más años (009)",4150,23171,19461,1,84,,
"Conviviente (010)",3519,9474,8780,385,92.7,4.1,
"De 12 a 14 años (011)",18,6,6,,100,,
"De 15 a 19 años (012)",217,168,168,48,100,28.6,
"De 20 a 24 años (013)",631,849,820,124,96.6,14.6,
"De 25 a 29 años (014)",780,1547,1467,100,94.8,6.5,
"De 30 a 34 años (015)",581,1585,1509,61,95.2,3.8,
"De 35 a 39 años (016)",485,1673,1580,37,94.4,2.2,
"De 40 a 44 años (017)",277,1128,1051,12,93.2,1.1,
"De 45 a 49 años (018)",205,913,820,2,89.8,0.2,
"De 50 y más años (019)",325,1605,1359,1,84.7,0.1,
"Separado(a) (020)",744,1793,1641,39,91.5,2.2,
"De 12 a 14 años (021)",3,,,,,,
"De 15 a 19 años (022)",36,30,30,7,100,23.3,
"De 20 a 24 años (023)",102,109,105,10,96.3,9.2,
"De 25 a 29 años (024)",118,153,148,14,96.7,9.2,
"De 30 a 34 años (025)",106,203,191,3,94.1,1.5,
"De 35 a 39 años (026)",100,224,209,,93.3,,
"De 40 a 44 años (027)",67,176,164,3,93.2,1.7,
"De 45 a 49 años (028)",52,176,162,2,92,1.1,
"De 50 y más años (029)",160,722,632,,87.5,,
"Casado(a) (030)",5474,26637,23725,230,89.1,0.9,
"De 12 a 14 años (031)",3,,,,,,
"De 15 a 19 años (032)",33,28,27,3,96.4,10.7,
"De 20 a 24 años (033)",153,211,207,26,98.1,12.3,
"De 25 a 29 años (034)",310,678,657,52,96.9,7.7,
"De 30 a 34 años (035)",531,1596,1513,58,94.8,3.6,
"De 35 a 39 años (036)",734,2904,2701,54,93,1.9,
