"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ANTABAMBA (000)",4180,69,1053,1385,1144,529
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",24,,3,14,7,
"Profes., científicos e intelectuales (002)",323,,60,152,107,4
"Técnicos de nivel medio y trab.asimilados (003)",64,4,20,26,13,1
"Jefes y empleados de oficina (004)",74,,24,30,20,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",244,1,61,105,55,22
"Agricult.trabaj. calif. agrop. y pesqueros (006)",878,1,129,262,285,201
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",220,,88,78,42,12
"Obreros construc., conf., papel, fab., instr. (008)",110,,28,45,35,2
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",2025,63,577,601,525,259
"Otra (010)",8,,2,6,,
"Ocupación no especificada (011)",109,,24,27,38,20
"Desocupado (012)",101,,37,39,17,8
"Hombres (013)",2738,43,686,926,746,337
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",21,,2,13,6,
"Profes., científicos e intelectuales (015)",189,,25,85,76,3
"Técnicos de nivel medio y trab.asimilados (016)",48,2,15,18,12,1
"Jefes y empleados de oficina (017)",52,,15,21,16,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",78,,17,35,17,9
"Agricult.trabaj. calif. agrop. y pesqueros (019)",688,1,95,226,223,143
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",190,,81,72,32,5
"Obreros construc., conf., papel, fab., instr. (021)",103,,26,42,33,2
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",1230,40,369,365,301,155
"Otra (023)",8,,2,6,,
"Ocupación no especificada (024)",43,,7,9,16,11
"Desocupado (025)",88,,32,34,14,8
"Mujeres (026)",1442,26,367,459,398,192
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",3,,1,1,1,
"Profes., científicos e intelectuales (028)",134,,35,67,31,1
"Técnicos de nivel medio y trab.asimilados (029)",16,2,5,8,1,
"Jefes y empleados de oficina (030)",22,,9,9,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",166,1,44,70,38,13
"Agricult.trabaj. calif. agrop. y pesqueros (032)",190,,34,36,62,58
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",30,,7,6,10,7
"Obreros construc., conf., papel, fab., instr. (034)",7,,2,3,2,
