"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia LAMAS (000)",31671,51,957,291,409,1699,14480,557,1022,11512,42,651
"Agric., ganadería, caza y silvicultura (001)",24188,1,4,6,3,,14478,,2,9694,,
"Pesca (002)",3,,,,,,2,,,1,,
"Explotación de minas y canteras (003)",4,,1,,,,,3,,,,
"Industrias manufactureras (004)",497,1,5,9,7,2,,437,27,9,,
"Suministro de electricidad, gas y agua (005)",39,,1,3,1,,,3,6,25,,
"Construcción (006)",733,,11,14,9,,,17,377,305,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1668,,2,17,3,1351,,85,6,204,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",79,,,1,,17,,56,3,2,,
"Comercio al por mayor (009)",121,,1,3,,115,,1,,1,,
"Comercio al por menor (010)",1468,,1,13,3,1219,,28,3,201,,
"Hoteles y restaurantes (011)",443,,,13,5,264,,,,161,,
"Trans., almac. y comunicaciones (012)",653,,,5,20,1,,1,584,42,,
"Intermediación financiera (013)",26,,10,5,11,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",137,,28,27,25,39,,3,2,13,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",429,40,17,16,233,4,,4,11,62,42,
"Enseñanza (016)",848,9,788,7,32,,,,,12,,
"Servicios sociales y de salud (017)",215,,65,104,16,15,,3,3,9,,
"Otras activ. serv.comun.soc y personales (018)",179,,24,59,15,23,,1,4,53,,
"Hogares privados con servicio doméstico (019)",921,,,,,,,,,921,,
"Actividad economica no especificada (021)",688,,1,6,29,,,,,1,,651
"Hombres (022)",23011,43,527,200,206,727,13017,437,1007,6668,42,137
"Agric., ganadería, caza y silvicultura (023)",19080,1,4,5,3,,13015,,2,6050,,
"Pesca (024)",3,,,,,,2,,,1,,
"Explotación de minas y canteras (025)",4,,1,,,,,3,,,,
"Industrias manufactureras (026)",365,1,2,7,6,2,,321,20,6,,
"Suministro de electricidad, gas y agua (027)",38,,1,3,,,,3,6,25,,
"Construcción (028)",718,,9,12,7,,,16,373,301,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",830,,1,11,,631,,83,6,98,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",73,,,1,,11,,56,3,2,,
"Comercio al por mayor (031)",60,,,,,59,,,,1,,
"Comercio al por menor (032)",697,,1,10,,561,,27,3,95,,
"Hoteles y restaurantes (033)",68,,,9,4,39,,,,16,,
"Trans., almac. y comunicaciones (034)",619,,,3,6,,,1,580,29,,
"Intermediación financiera (035)",15,,7,4,4,,,,,,,
"Activid.inmobil., empres. y alquileres (036)",106,,20,20,15,37,,3,2,9,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",304,34,17,11,122,4,,4,11,59,42,
"Enseñanza (038)",448,7,414,4,16,,,,,7,,
"Servicios sociales y de salud (039)",102,,29,58,5,2,,2,3,3,,
"Otras activ. serv.comun.soc y personales (040)",130,,21,51,11,12,,1,4,30,,
"Hogares privados con servicio doméstico (041)",33,,,,,,,,,33,,
"Actividad economica no especificada (043)",148,,1,2,7,,,,,1,,137
"Mujeres (044)",8660,8,430,91,203,972,1463,120,15,4844,,514
"Agric., ganadería, caza y silvicultura (045)",5108,,,1,,,1463,,,3644,,
"Industrias manufactureras (048)",132,,3,2,1,,,116,7,3,,
