"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MOYOBAMBA (000)",41625,34662,2690,1903,2370
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",79,3,15,14,47
"Profes., científicos e intelectuales (002)",2939,799,456,951,733
"Técnicos de nivel medio y trab. asimilados (003)",1100,551,151,129,269
"Jefes y empleados de oficina (004)",1340,281,156,223,680
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4273,3833,258,93,89
"Agricult.trabaj.calif.agrop.y pesqueros (006)",14285,13793,477,14,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1690,1448,157,58,27
"Obreros construc.,conf.,papel, fab., instr. (008)",2905,2386,258,147,114
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",11816,10710,682,223,201
"Otra (010)",177,,,,177
"Ocupación no especificada (011)",1021,858,80,51,32
"Hombres (012)",30652,25959,2019,1174,1500
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",54,1,11,10,32
"Profes., científicos e intelectuales (014)",1609,425,253,507,424
"Técnicos de nivel medio y trab. asimilados (015)",690,359,99,81,151
"Jefes y empleados de oficina (016)",603,81,85,86,351
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1757,1468,153,70,66
"Agricult.trabaj.calif.agrop.y pesqueros (018)",13365,12916,434,14,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1400,1177,145,52,26
"Obreros construc.,conf.,papel, fab., instr. (020)",2845,2336,257,142,110
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",7811,6946,540,179,146
"Otra (022)",167,,,,167
"Ocupación no especificada (023)",351,250,42,33,26
"Mujeres (024)",10973,8703,671,729,870
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",25,2,4,4,15
"Profes., científicos e intelectuales (026)",1330,374,203,444,309
"Técnicos de nivel medio y trab. asimilados (027)",410,192,52,48,118
"Jefes y empleados de oficina (028)",737,200,71,137,329
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2516,2365,105,23,23
"Agricult.trabaj.calif.agrop.y pesqueros (030)",920,877,43,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",290,271,12,6,1
"Obreros construc.,conf.,papel, fab., instr. (032)",60,50,1,5,4
