"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia YAUYOS (000)",7806,25093,4753,15451,3053,9642
"Casa independiente (001)",7234,23502,4528,14734,2706,8768
"Departamento en edificio (002)",6,13,6,13,,
"Vivienda en quinta (003)",30,103,30,103,,
"Vivienda en casa de vecindad (004)",131,407,131,407,,
"Choza o cabaña (005)",344,869,,,344,869
"Vivienda improvisada (006)",42,146,42,146,,
"Local no dest.para hab. humana (007)",8,24,6,20,2,4
"Otro tipo (008)",11,29,10,28,1,1
