"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",9225,26506,24298,,443,91.7,1.7
"De 12 a 14 años (001)",933,5,5,,1,100,20
"De 15 a 19 años (002)",1143,252,251,69,99.6,27.4,
"De 20 a 24 años (003)",944,1056,1039,119,98.4,11.3,
"De 25 a 29 años (004)",905,1653,1625,102,98.3,6.2,
"De 30 a 34 años (005)",861,2188,2122,79,97,3.6,
"De 35 a 39 años (006)",833,2619,2536,47,96.8,1.8,
"De 40 a 44 años (007)",735,2794,2655,23,95,0.8,
"De 45 a 49 años (008)",594,2668,2491,3,93.4,0.1,
"De 50 y más años (009)",2277,13271,11574,,87.2,,
"PEA (010)",1810,4436,4166,52,93.9,1.2,
"De 12 a 14 años (011)",66,1,1,,100,,
"De 15 a 19 años (012)",180,30,30,5,100,16.7,
"De 20 a 24 años (013)",191,141,135,12,95.7,8.5,
"De 25 a 29 años (014)",216,290,287,10,99,3.4,
"De 30 a 34 años (015)",227,462,443,14,95.9,3,
"De 35 a 39 años (016)",231,606,581,8,95.9,1.3,
"De 40 a 44 años (017)",236,769,745,3,96.9,0.4,
"De 45 a 49 años (018)",152,494,470,,95.1,,
"De 50 y más años (019)",311,1643,1474,,89.7,,
"Ocupada (020)",1749,4385,4121,51,94,1.2,
"De 12 a 14 años (021)",59,1,1,,100,,
"De 15 a 19 años (022)",158,28,28,5,100,17.9,
"De 20 a 24 años (023)",183,136,133,12,97.8,8.8,
"De 25 a 29 años (024)",210,287,284,9,99,3.1,
"De 30 a 34 años (025)",222,452,435,14,96.2,3.1,
"De 35 a 39 años (026)",226,601,576,8,95.8,1.3,
"De 40 a 44 años (027)",236,769,745,3,96.9,0.4,
"De 45 a 49 años (028)",150,488,464,,95.1,,
"De 50 y más años (029)",305,1623,1455,,89.6,,
"Desocupada (030)",61,51,45,1,88.2,2,
"De 12 a 14 años (031)",7,,,,,,
"De 15 a 19 años (032)",22,2,2,,100,,
"De 20 a 24 años (033)",8,5,2,,40,,
"De 25 a 29 años (034)",6,3,3,1,100,33.3,
"De 30 a 34 años (035)",5,10,8,,80,,
"De 35 a 39 años (036)",5,5,5,,100,,
"De 45 a 49 años (038)",2,6,6,,100,,
"De 50 y más años (039)",6,20,19,,95,,
