"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUAYTARA (000)",8262,1008,2261,3444,53,1426,70
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",33,33,,,,,
"Profes., científicos e intelectuales (002)",613,544,,65,3,1,
"Técnicos de nivel medio y trab. asimilados (003)",143,121,,17,3,2,
"Jefes y empleados de oficina (004)",133,132,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",462,49,19,352,4,38,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2650,,,2618,30,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",744,,664,71,5,4,
"Obreros construc.,conf.,papel, fab., instr. (008)",475,21,322,129,3,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2770,56,1197,100,,1347,70
"Otra (010)",25,25,,,,,
"Ocupación no especificada (011)",214,27,59,91,5,32,
"Hombres (012)",5938,617,2092,2486,33,704,6
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",27,27,,,,,
"Profes., científicos e intelectuales (014)",325,284,,37,3,1,
"Técnicos de nivel medio y trab. asimilados (015)",104,88,,13,2,1,
"Jefes y empleados de oficina (016)",86,85,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",206,34,4,160,,8,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",2016,,,1995,19,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",725,,655,63,4,3,
"Obreros construc.,conf.,papel, fab., instr. (020)",468,21,316,128,3,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1831,36,1063,47,,679,6
"Otra (022)",25,25,,,,,
"Ocupación no especificada (023)",125,17,54,42,2,10,
"Mujeres (024)",2324,391,169,958,20,722,64
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",6,6,,,,,
"Profes., científicos e intelectuales (026)",288,260,,28,,,
"Técnicos de nivel medio y trab. asimilados (027)",39,33,,4,1,1,
"Jefes y empleados de oficina (028)",47,47,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",256,15,15,192,4,30,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",634,,,623,11,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",19,,9,8,1,1,
"Obreros construc.,conf.,papel, fab., instr. (032)",7,,6,1,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",939,20,134,53,,668,64
"Ocupación no especificada (035)",89,10,5,49,3,22,
,,,,,,,
"URBANA (036)",2411,566,509,1002,20,270,44
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",21,21,,,,,
"Profes., científicos e intelectuales (038)",349,307,,40,1,1,
"Técnicos de nivel medio y trab. asimilados (039)",77,63,,10,2,2,
"Jefes y empleados de oficina (040)",83,83,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",237,18,1,194,2,22,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",603,,,593,9,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",70,,39,27,1,3,
"Obreros construc.,conf.,papel, fab., instr. (044)",169,14,91,63,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",713,26,365,52,,226,44
"Otra (046)",23,23,,,,,
"Ocupación no especificada (047)",66,11,13,23,4,15,
"Hombres (048)",1590,328,464,670,10,116,2
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",18,18,,,,,
"Profes., científicos e intelectuales (050)",177,150,,25,1,1,
"Técnicos de nivel medio y trab. asimilados (051)",50,42,,6,1,1,
"Jefes y empleados de oficina (052)",51,51,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",99,11,,84,,4,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",449,,,443,5,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",64,,38,23,,3,
"Obreros construc.,conf.,papel, fab., instr. (056)",166,14,89,62,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",464,13,326,19,,104,2
"Otra (058)",23,23,,,,,
"Ocupación no especificada (059)",29,6,11,8,2,2,
"Mujeres (060)",821,238,45,332,10,154,42
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",3,3,,,,,
"Profes., científicos e intelectuales (062)",172,157,,15,,,
"Técnicos de nivel medio y trab. asimilados (063)",27,21,,4,1,1,
"Jefes y empleados de oficina (064)",32,32,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",138,7,1,110,2,18,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",154,,,150,4,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",6,,1,4,1,,
"Obreros construc.,conf.,papel, fab., instr. (068)",3,,2,1,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",249,13,39,33,,122,42
"Ocupación no especificada (071)",37,5,2,15,2,13,
,,,,,,,
"RURAL (072)",5851,442,1752,2442,33,1156,26
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",12,12,,,,,
"Profes., científicos e intelectuales (074)",264,237,,25,2,,
"Técnicos de nivel medio y trab. asimilados (075)",66,58,,7,1,,
"Jefes y empleados de oficina (076)",50,49,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",225,31,18,158,2,16,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",2047,,,2025,21,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",674,,625,44,4,1,
"Obreros construc.,conf.,papel, fab., instr. (080)",306,7,231,66,2,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",2057,30,832,48,,1121,26
"Otra (082)",2,2,,,,,
"Ocupación no especificada (083)",148,16,46,68,1,17,
"Hombres (084)",4348,289,1628,1816,23,588,4
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",9,9,,,,,
"Profes., científicos e intelectuales (086)",148,134,,12,2,,
"Técnicos de nivel medio y trab. asimilados (087)",54,46,,7,1,,
"Jefes y empleados de oficina (088)",35,34,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",107,23,4,76,,4,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",1567,,,1552,14,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",661,,617,40,4,,
"Obreros construc.,conf.,papel, fab., instr. (092)",302,7,227,66,2,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",1367,23,737,28,,575,4
"Otra (094)",2,2,,,,,
"Ocupación no especificada (095)",96,11,43,34,,8,
"Mujeres (096)",1503,153,124,626,10,568,22
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",3,3,,,,,
"Profes., científicos e intelectuales (098)",116,103,,13,,,
"Técnicos de nivel medio y trab. asimilados (099)",12,12,,,,,
"Jefes y empleados de oficina (100)",15,15,,,,,
