"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CONDESUYOS (000)",4687,56,130,292,531,940,1482,1256
"De 12 a 14 años (001)",11,,,,,,,11
"De 15 a 19 años (002)",102,,,,,,60,42
"De 20 a 24 años (003)",464,,,,,1,280,183
"De 25 a 29 años (004)",500,,,,,29,319,152
"De 30 a 34 años (005)",500,,,,,78,308,114
"De 35 a 39 años (006)",538,,,,13,164,270,91
"De 40 a 44 años (007)",491,,,,27,211,162,91
"De 45 a 49 años (008)",389,,,1,57,190,70,71
"De 50 y más años (009)",1692,56,130,291,434,267,13,501
"Sin nivel (010)",1210,40,76,134,195,217,168,380
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",3,,,,,,2,1
"De 20 a 24 años (013)",8,,,,,,4,4
"De 25 a 29 años (014)",15,,,,,,10,5
"De 30 a 34 años (015)",55,,,,,9,30,16
"De 35 a 39 años (016)",68,,,,,13,43,12
"De 40 a 44 años (017)",106,,,,3,38,48,17
"De 45 a 49 años (018)",101,,,,11,47,26,17
"De 50 y más años (019)",853,40,76,134,181,110,5,307
"Educacion Inicial (020)",4,,,,,1,1,2
"De 20 a 24 años (023)",1,,,,,,,1
"De 25 a 29 años (024)",1,,,,,,,1
"De 35 a 39 años (026)",2,,,,,1,1,
"Primaria (030)",1579,15,40,112,208,387,490,327
"De 12 a 14 años (031)",7,,,,,,,7
"De 15 a 19 años (032)",24,,,,,,13,11
"De 20 a 24 años (033)",122,,,,,,84,38
"De 25 a 29 años (034)",146,,,,,9,103,34
"De 30 a 34 años (035)",164,,,,,34,110,20
"De 35 a 39 años (036)",197,,,,4,64,98,31
"De 40 a 44 años (037)",190,,,,14,89,58,29
"De 45 a 49 años (038)",147,,,1,23,81,19,23
"De 50 y más años (039)",582,15,40,111,167,110,5,134
"Secundaria (040)",1039,1,7,20,61,155,498,297
"De 12 a 14 años (041)",3,,,,,,,3
"De 15 a 19 años (042)",64,,,,,,37,27
"De 20 a 24 años (043)",224,,,,,1,134,89
"De 25 a 29 años (044)",194,,,,,13,128,53
"De 30 a 34 años (045)",144,,,,,18,90,36
"De 35 a 39 años (046)",134,,,,7,45,63,19
"De 40 a 44 años (047)",94,,,,7,35,31,21
"De 45 a 49 años (048)",61,,,,5,25,12,19
"De 50 y más años (049)",121,1,7,20,42,18,3,30
"Sup. no Univ. incompleta (050)",252,,3,7,16,54,104,68
"De 15 a 19 años (052)",7,,,,,,5,2
"De 20 a 24 años (053)",52,,,,,,30,22
"De 25 a 29 años (054)",38,,,,,,23,15
"De 30 a 34 años (055)",38,,,,,8,20,10
