"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia CANAS (000)",38293,37873,273,147
"Hombres (001)",19170,19007,85,78
"Mujeres (002)",19123,18866,188,69
"Menores de 1 año (003)",717,621,51,45
"Hombres (004)",368,318,26,24
"Mujeres (005)",349,303,25,21
"De 1 a 5 años (006)",4885,4747,48,90
"Hombres (007)",2497,2428,20,49
"Mujeres (008)",2388,2319,28,41
"De 6 a 14 años (009)",9608,9597,3,8
"Hombres (010)",5022,5017,,5
"Mujeres (011)",4586,4580,3,3
"De 15 a 29 años (012)",8256,8252,4,
"Hombres (013)",4193,4191,2,
"Mujeres (014)",4063,4061,2,
"De 30 a 44 años (015)",6359,6352,7,
"Hombres (016)",3104,3102,2,
"Mujeres (017)",3255,3250,5,
"De 45 a 64 años (018)",5483,5455,27,1
"Hombres (019)",2646,2640,6,
"Mujeres (020)",2837,2815,21,1
"De 65 a más años (021)",2985,2849,133,3
"Hombres (022)",1340,1311,29,
"Mujeres (023)",1645,1538,104,3
,,,,
"URBANA (024)",6156,6087,38,31
"Hombres (025)",3082,3051,13,18
"Mujeres (026)",3074,3036,25,13
"Menores de 1 año (027)",114,96,10,8
"Hombres (028)",50,42,4,4
"Mujeres (029)",64,54,6,4
"De 1 a 5 años (030)",660,625,13,22
"Hombres (031)",327,307,6,14
"Mujeres (032)",333,318,7,8
"De 6 a 14 años (033)",1423,1422,,1
"Hombres (034)",741,741,,
"Mujeres (035)",682,681,,1
"De 15 a 29 años (036)",1578,1576,2,
"Hombres (037)",812,812,,
"Mujeres (038)",766,764,2,
"De 30 a 44 años (039)",1222,1221,1,
"Hombres (040)",604,604,,
"Mujeres (041)",618,617,1,
"De 45 a 64 años (042)",773,769,4,
"Hombres (043)",386,385,1,
"Mujeres (044)",387,384,3,
"De 65 a más años (045)",386,378,8,
"Hombres (046)",162,160,2,
"Mujeres (047)",224,218,6,
,,,,
"RURAL (048)",32137,31786,235,116
"Hombres (049)",16088,15956,72,60
"Mujeres (050)",16049,15830,163,56
"Menores de 1 año (051)",603,525,41,37
"Hombres (052)",318,276,22,20
"Mujeres (053)",285,249,19,17
"De 1 a 5 años (054)",4225,4122,35,68
"Hombres (055)",2170,2121,14,35
"Mujeres (056)",2055,2001,21,33
"De 6 a 14 años (057)",8185,8175,3,7
"Hombres (058)",4281,4276,,5
"Mujeres (059)",3904,3899,3,2
"De 15 a 29 años (060)",6678,6676,2,
"Hombres (061)",3381,3379,2,
"Mujeres (062)",3297,3297,,
"De 30 a 44 años (063)",5137,5131,6,
"Hombres (064)",2500,2498,2,
"Mujeres (065)",2637,2633,4,
"De 45 a 64 años (066)",4710,4686,23,1
"Hombres (067)",2260,2255,5,
"Mujeres (068)",2450,2431,18,1
"De 65 a más años (069)",2599,2471,125,3
"Hombres (070)",1178,1151,27,
"Mujeres (071)",1421,1320,98,3
