"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia OYON (000)",4943,18829,3199,12942,1744,5887
"Casa independiente (001)",4471,17210,2964,11919,1507,5291
"Departamento en edificio (002)",25,78,25,78,,
"Vivienda en quinta (003)",92,430,92,430,,
"Vivienda en casa de vecindad (004)",111,491,111,491,,
"Choza o cabaña (005)",237,596,,,237,596
"Local no dest.para hab. humana (007)",7,24,7,24,,
