"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PATAZ (000)",65802,18674,19410,14149,9053,4516
"Sin nivel (001)",11371,1090,1507,2680,3375,2719
"Educación inicial (002)",1255,1190,39,26,,
"Primaria (003)",33953,14330,7432,6572,4031,1588
"Secundaria (004)",12860,2064,7644,2302,756,94
"Superior no univ. incompleta (005)",1599,,965,502,115,17
"Superior no univ. completa (006)",2583,,1060,1113,355,55
"Superior univ. incompleta (007)",574,,278,197,87,12
"Superior univ. completa (008)",1607,,485,757,334,31
"PEA (010)",23766,402,8721,8456,4686,1501
"Sin nivel (011)",3163,76,472,877,1068,670
"Educación inicial (012)",29,5,15,9,,
"Primaria (013)",10384,245,3388,3684,2321,746
"Secundaria (014)",5330,76,2985,1684,546,39
"Superior no univ. incompleta (015)",918,,429,393,92,4
"Superior no univ. completa (016)",2153,,867,977,286,23
"Superior univ. incompleta (017)",392,,153,158,74,7
"Superior univ. completa (018)",1397,,412,674,299,12
"Ocupada (020)",22552,339,8085,8140,4534,1454
"Sin nivel (021)",3006,64,443,819,1034,646
"Educación inicial (022)",28,5,14,9,,
"Primaria (023)",9754,202,3093,3508,2228,723
"Secundaria (024)",5012,68,2746,1630,529,39
"Superior no univ. incompleta (025)",879,,402,383,90,4
"Superior no univ. completa (026)",2115,,844,964,284,23
"Superior univ. incompleta (027)",384,,146,157,74,7
"Superior univ. completa (028)",1374,,397,670,295,12
"Desocupada (030)",1214,63,636,316,152,47
