"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CAÑETE (000)",151878,20966,29460,31722,25758,18375,25597
"Conviviente (001)",37489,390,7845,14063,8774,3902,2515
"Separado(a) (002)",6220,36,592,1402,1587,1319,1284
"Casado(a) (003)",45340,49,1157,7286,11387,10397,15064
"Viudo(a) (004)",5522,6,23,115,282,613,4483
"Divorciado(a) (005)",501,,13,41,85,123,239
"Soltero(a) (006)",56806,20485,19830,8815,3643,2021,2012
"Hombres (008)",75822,10662,14713,15648,12622,9223,12954
"Conviviente (009)",18438,141,2902,6939,4664,2237,1555
"Separado(a) (010)",1903,13,77,353,486,463,511
"Casado(a) (011)",22566,27,355,3113,5363,5280,8428
"Viudo(a) (012)",1600,4,5,28,54,131,1378
"Divorciado(a) (013)",252,,8,20,35,58,131
"Soltero(a) (014)",31063,10477,11366,5195,2020,1054,951
"Mujeres (016)",76056,10304,14747,16074,13136,9152,12643
"Conviviente (017)",19051,249,4943,7124,4110,1665,960
"Separado(a) (018)",4317,23,515,1049,1101,856,773
"Casado(a) (019)",22774,22,802,4173,6024,5117,6636
"Viudo(a) (020)",3922,2,18,87,228,482,3105
"Divorciado(a) (021)",249,,5,21,50,65,108
"Soltero(a) (022)",25743,10008,8464,3620,1623,967,1061
,,,,,,,
"URBANA (024)",127256,17765,24810,26658,21677,15345,21001
"Conviviente (025)",31297,348,6635,11764,7302,3218,2030
"Separado(a) (026)",5335,32,509,1206,1394,1135,1059
"Casado(a) (027)",37685,47,962,6160,9625,8675,12216
"Viudo(a) (028)",4641,6,21,96,235,512,3771
"Divorciado(a) (029)",435,,10,36,67,112,210
"Soltero(a) (030)",47863,17332,16673,7396,3054,1693,1715
"Hombres (032)",62887,9037,12302,13000,10450,7606,10492
"Conviviente (033)",15287,130,2481,5766,3821,1844,1245
"Separado(a) (034)",1588,11,69,302,424,382,400
"Casado(a) (035)",18569,25,299,2592,4505,4365,6783
"Viudo(a) (036)",1348,4,5,24,43,106,1166
"Divorciado(a) (037)",216,,8,17,27,51,113
"Soltero(a) (038)",25879,8867,9440,4299,1630,858,785
"Mujeres (040)",64369,8728,12508,13658,11227,7739,10509
"Conviviente (041)",16010,218,4154,5998,3481,1374,785
"Separado(a) (042)",3747,21,440,904,970,753,659
"Casado(a) (043)",19116,22,663,3568,5120,4310,5433
"Viudo(a) (044)",3293,2,16,72,192,406,2605
"Divorciado(a) (045)",219,,2,19,40,61,97
"Soltero(a) (046)",21984,8465,7233,3097,1424,835,930
,,,,,,,
"RURAL (048)",24622,3201,4650,5064,4081,3030,4596
"Conviviente (049)",6192,42,1210,2299,1472,684,485
"Separado(a) (050)",885,4,83,196,193,184,225
"Casado(a) (051)",7655,2,195,1126,1762,1722,2848
"Viudo(a) (052)",881,,2,19,47,101,712
"Divorciado(a) (053)",66,,3,5,18,11,29
"Soltero(a) (054)",8943,3153,3157,1419,589,328,297
"Hombres (056)",12935,1625,2411,2648,2172,1617,2462
"Conviviente (057)",3151,11,421,1173,843,393,310
"Separado(a) (058)",315,2,8,51,62,81,111
"Casado(a) (059)",3997,2,56,521,858,915,1645
"Viudo(a) (060)",252,,,4,11,25,212
"Divorciado(a) (061)",36,,,3,8,7,18
"Soltero(a) (062)",5184,1610,1926,896,390,196,166
"Mujeres (064)",11687,1576,2239,2416,1909,1413,2134
"Conviviente (065)",3041,31,789,1126,629,291,175
"Separado(a) (066)",570,2,75,145,131,103,114
"Casado(a) (067)",3658,,139,605,904,807,1203
"Viudo(a) (068)",629,,2,15,36,76,500
"Divorciado(a) (069)",30,,3,2,10,4,11
"Soltero(a) (070)",3759,1543,1231,523,199,132,131
