"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia JULCAN (000)",7873,7484,200,97,92
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",8,,,,8
"Profes., científicos e intelectuales (002)",340,219,60,46,15
"Técnicos de nivel medio y trab. asimilados (003)",36,16,3,5,12
"Jefes y empleados de oficina (004)",48,20,4,3,21
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",243,232,9,2,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4905,4845,60,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",83,73,3,5,2
"Obreros construc.,conf.,papel, fab., instr. (008)",96,76,2,15,3
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",1715,1628,50,19,18
"Otra (010)",13,,,,13
"Ocupación no especificada (011)",386,375,9,2,
"Hombres (012)",6988,6693,157,73,65
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",6,,,,6
"Profes., científicos e intelectuales (014)",134,62,38,28,6
"Técnicos de nivel medio y trab. asimilados (015)",24,12,2,5,5
"Jefes y empleados de oficina (016)",30,6,3,2,19
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",107,103,4,,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",4845,4786,59,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",79,70,2,5,2
"Obreros construc.,conf.,papel, fab., instr. (020)",96,76,2,15,3
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1492,1420,44,16,12
"Otra (022)",12,,,,12
"Ocupación no especificada (023)",163,158,3,2,
"Mujeres (024)",885,791,43,24,27
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",2,,,,2
"Profes., científicos e intelectuales (026)",206,157,22,18,9
"Técnicos de nivel medio y trab. asimilados (027)",12,4,1,,7
"Jefes y empleados de oficina (028)",18,14,1,1,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",136,129,5,2,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",60,59,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",4,3,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",223,208,6,3,6
"Otra (034)",1,,,,1
"Ocupación no especificada (035)",223,217,6,,
,,,,,
"URBANA (036)",1164,961,79,57,67
