"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ACOMAYO (000)",7633,1139,13,3407,2172,162,421,77,242
"Agric., ganadería, caza y silvicultura (001)",5248,956,11,2729,1365,58,82,17,30
"Pesca (002)",2,,,1,1,,,,
"Explotación de minas y canteras (003)",14,,,5,7,,2,,
"Industrias manufactureras (004)",170,20,,65,66,5,8,2,4
"Suministro de electricidad, gas y agua (005)",14,,,4,6,2,2,,
"Construcción (006)",442,16,,182,210,10,17,2,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",408,29,,145,173,19,28,8,6
"Venta, mant.y rep. veh.autom.y motoc. (008)",15,,,3,6,2,3,1,
"Comercio al por mayor (009)",18,2,,6,7,1,1,,1
"Comercio al por menor (010)",375,27,,136,160,16,24,7,5
"Hoteles y restaurantes (011)",136,16,,48,64,,6,,2
"Trans., almac. y comunicaciones (012)",92,3,,11,51,8,7,6,6
"Intermediación financiera (013)",1,,,,1,,,,
"Activid.inmobil., empres. y de alquiler (014)",48,1,,2,15,5,9,4,12
"Admin.pub. y defensa; p. segur.soc.afil (015)",219,5,,32,59,17,48,21,37
"Enseñanza (016)",325,,,1,26,19,171,12,96
"Servicios sociales y de salud (017)",59,,,1,3,3,19,2,31
"Otras activ. serv.comun.soc y personales (018)",78,3,,17,33,3,14,2,6
"Hogares privados con servicio doméstico (019)",84,14,,41,27,2,,,
"Actividad economica no especificada (021)",293,76,2,123,65,11,8,1,7
"Hombres (022)",5093,367,5,2397,1683,131,291,60,159
"Agric., ganadería, caza y silvicultura (023)",3621,325,4,2000,1122,53,74,16,27
"Pesca (024)",2,,,1,1,,,,
"Explotación de minas y canteras (025)",13,,,5,6,,2,,
"Industrias manufactureras (026)",140,10,,58,57,5,6,1,3
"Suministro de electricidad, gas y agua (027)",12,,,4,5,1,2,,
"Construcción (028)",419,11,,168,206,10,17,2,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",169,4,,47,85,9,18,4,2
"Venta, mant.y rep. veh.autom.y motoc. (030)",13,,,3,5,1,3,1,
"Comercio al por mayor (031)",5,,,2,2,1,,,
"Comercio al por menor (032)",151,4,,42,78,7,15,3,2
"Hoteles y restaurantes (033)",11,,,,8,,3,,
"Trans., almac. y comunicaciones (034)",86,3,,11,47,8,6,5,6
"Intermediación financiera (035)",1,,,,1,,,,
"Activid.inmobil., empres. y de alquiler (036)",37,1,,1,11,5,5,4,10
"Admin.pub. y defensa; p. segur.soc.afil (037)",190,1,,30,52,16,43,17,31
"Enseñanza (038)",193,,,1,12,9,98,9,64
"Servicios sociales y de salud (039)",11,,,1,1,,4,1,4
"Otras activ. serv.comun.soc y personales (040)",57,,,13,24,3,11,1,5
"Hogares privados con servicio doméstico (041)",24,3,,11,8,2,,,
"Actividad economica no especificada (043)",107,9,1,46,37,10,2,,2
"Mujeres (044)",2540,772,8,1010,489,31,130,17,83
"Agric., ganadería, caza y silvicultura (045)",1627,631,7,729,243,5,8,1,3
"Explotación de minas y canteras (047)",1,,,,1,,,,
