"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia POMABAMBA (000)",7087,6825,28,1220,1047,948,1787,1139,521,135,262,27191
"De 12 a 14 años (001)",5,3,1,2,,,,,,,2,2
"De 15 a 19 años (002)",151,137,3,118,13,3,,,,,14,153
"De 20 a 24 años (003)",714,616,3,402,150,47,12,2,,,98,904
"De 25 a 29 años (004)",823,764,1,275,261,153,69,5,,,59,1579
"De 30 a 34 años (005)",759,736,2,117,174,158,226,53,5,1,23,2316
"De 35 a 39 años (006)",801,783,2,56,112,164,294,126,28,1,18,3112
"De 40 a 44 años (007)",746,737,1,46,71,92,285,165,66,11,9,3444
"De 45 a 49 años (008)",602,595,1,28,63,74,181,150,81,17,7,3007
"De 50 y más años (009)",2486,2454,14,176,203,257,720,638,341,105,32,12674
"Sin nivel (010)",3806,3744,17,387,390,449,1114,854,426,107,62,17684
"De 15 a 19 años (012)",27,25,1,18,6,,,,,,2,30
"De 20 a 24 años (013)",139,132,1,77,35,15,4,,,,7,209
"De 25 a 29 años (014)",263,251,,65,96,57,29,4,,,12,576
"De 30 a 34 años (015)",297,290,,39,46,53,112,35,4,1,7,1055
"De 35 a 39 años (016)",337,330,1,19,23,59,132,72,23,1,7,1497
"De 40 a 44 años (017)",387,383,,20,23,31,146,109,49,5,4,1966
"De 45 a 49 años (018)",371,368,1,20,21,47,106,96,63,14,3,1975
"De 50 y más años (019)",1985,1965,13,129,140,187,585,538,287,86,20,10376
"Educacion Inicial (020)",22,22,,4,11,3,4,,,,,52
"De 20 a 24 años (023)",5,5,,1,3,,1,,,,,11
"De 25 a 29 años (024)",6,6,,1,5,,,,,,,11
"De 30 a 34 años (025)",7,7,,1,2,2,2,,,,,20
