"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia BARRANCA (000)",50480,1699,41,11436,23319,2429,3509,2641,5406
"Agric., ganadería, caza y silvicultura (001)",12642,945,19,4531,5981,297,224,304,341
"Pesca (002)",807,6,,225,467,23,28,29,29
"Explotación de minas y canteras (003)",111,1,,18,60,5,12,3,12
"Industrias manufactureras (004)",4198,51,3,758,2122,258,435,206,365
"Suministro de electricidad, gas y agua (005)",124,1,,19,41,3,26,11,23
"Construcción (006)",2765,25,3,633,1654,110,137,93,110
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",10819,350,7,2569,5030,650,918,593,702
"Venta, mant.y rep. veh.autom.y motoc. (008)",1179,6,1,172,576,97,169,74,84
"Comercio al por mayor (009)",553,6,,88,259,33,52,43,72
"Comercio al por menor (010)",9087,338,6,2309,4195,520,697,476,546
"Hoteles y restaurantes (011)",2800,109,,755,1407,139,150,124,116
"Trans., almac. y comunicaciones (012)",5110,49,5,831,3249,230,256,274,216
"Intermediación financiera (013)",233,,,2,52,23,25,34,97
"Activid.inmobil., empres. y de alquiler (014)",2276,18,,151,773,198,252,291,593
"Admin.pub. y defensa; p. segur.soc.afil (015)",1308,8,,88,352,64,254,148,394
"Enseñanza (016)",2650,3,,5,160,137,341,233,1771
"Servicios sociales y de salud (017)",693,,,16,77,34,153,75,338
"Otras activ. serv.comun.soc y personales (018)",1985,30,2,332,900,173,184,149,215
"Hogares privados con servicio doméstico (019)",1150,46,1,327,622,55,50,36,13
"Actividad economica no especificada (021)",809,57,1,176,372,30,64,38,71
"Hombres (022)",33833,768,27,7607,17167,1619,1966,1684,2995
"Agric., ganadería, caza y silvicultura (023)",10109,518,13,3520,5065,255,176,266,296
"Pesca (024)",791,6,,222,460,21,27,29,26
"Explotación de minas y canteras (025)",101,1,,16,59,5,10,2,8
"Industrias manufactureras (026)",3356,37,3,592,1752,210,332,150,280
"Suministro de electricidad, gas y agua (027)",100,1,,18,40,2,16,6,17
"Construcción (028)",2732,25,3,630,1635,106,133,92,108
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",5397,80,2,1127,2671,355,455,338,369
"Venta, mant.y rep. veh.autom.y motoc. (030)",1096,6,1,165,540,87,161,63,73
"Comercio al por mayor (031)",353,3,,54,177,18,27,30,44
"Comercio al por menor (032)",3948,71,1,908,1954,250,267,245,252
"Hoteles y restaurantes (033)",870,9,,202,467,48,34,58,52
"Trans., almac. y comunicaciones (034)",4769,46,5,808,3096,203,205,223,183
"Intermediación financiera (035)",147,,,1,39,13,14,16,64
"Activid.inmobil., empres. y de alquiler (036)",1706,12,,132,659,159,148,200,396
"Admin.pub. y defensa; p. segur.soc.afil (037)",857,5,,65,286,41,158,79,223
"Enseñanza (038)",1019,2,,,72,50,129,87,679
"Servicios sociales y de salud (039)",220,,,5,28,15,26,21,125
"Otras activ. serv.comun.soc y personales (040)",1247,14,1,193,616,121,77,95,130
"Hogares privados con servicio doméstico (041)",37,1,,7,24,,1,4,
"Actividad economica no especificada (043)",375,11,,69,198,15,25,18,39
