"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAJABAMBA (000)",74046,17989,56057
"Casa independiente (001)",72891,17597,55294
"Departamento en edificio (002)",26,26,
"Vivienda en quinta (003)",188,188,
"Vivienda en casa de vecindad (004)",137,137,
"Choza o cabaña (005)",753,,753
"Vivienda improvisada (006)",6,6,
"Local no dest.para hab. humana (007)",35,25,10
"Otro tipo (008)",10,10,
