"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUAYTARA (000)",8156,1007,2251,3435,53,1342,68
"Sin nivel (001)",566,1,40,290,4,218,13
"Educación inicial (002)",5,,1,4,,,
"Primaria (003)",2947,35,580,1600,18,685,29
"Secundaria (004)",3147,165,1320,1224,17,399,22
"Superior no univ. incompleta (005)",248,62,91,80,3,10,2
"Superior no univ. completa (006)",553,307,138,92,2,13,1
"Superior univ. incompleta (007)",148,46,46,45,2,9,
"Superior univ. completa (008)",542,391,35,100,7,8,1
"Hombres (010)",5868,617,2083,2478,33,651,6
"Sin nivel (011)",200,1,21,110,2,64,2
"Educación inicial (012)",3,,1,2,,,
"Primaria (013)",2009,13,505,1172,11,307,1
"Secundaria (014)",2632,125,1263,970,13,258,3
"Superior no univ. incompleta (015)",192,42,88,56,,6,
"Superior no univ. completa (016)",351,157,128,55,1,10,
"Superior univ. incompleta (017)",126,36,44,40,2,4,
"Superior univ. completa (018)",355,243,33,73,4,2,
"Mujeres (020)",2288,390,168,957,20,691,62
"Sin nivel (021)",366,,19,180,2,154,11
"Educación inicial (022)",2,,,2,,,
"Primaria (023)",938,22,75,428,7,378,28
"Secundaria (024)",515,40,57,254,4,141,19
"Superior no univ. incompleta (025)",56,20,3,24,3,4,2
"Superior no univ. completa (026)",202,150,10,37,1,3,1
"Superior univ. incompleta (027)",22,10,2,5,,5,
"Superior univ. completa (028)",187,148,2,27,3,6,1
,,,,,,,
"URBANA (030)",2366,565,503,999,20,237,42
"Sin nivel (031)",80,1,11,43,2,18,5
"Educación inicial (032)",2,,1,1,,,
"Primaria (033)",606,12,130,345,3,96,20
"Secundaria (034)",960,85,309,442,5,105,14
"Superior no univ. incompleta (035)",100,30,16,45,3,4,2
"Superior no univ. completa (036)",263,184,19,52,,7,1
"Superior univ. incompleta (037)",62,30,10,17,2,3,
"Superior univ. completa (038)",293,223,7,54,5,4,
"Hombres (040)",1559,328,459,668,10,92,2
"Sin nivel (041)",31,1,9,17,1,3,
"Educación inicial (042)",1,,1,,,,
"Primaria (043)",361,2,109,222,2,26,
"Secundaria (044)",736,63,292,323,3,53,2
"Superior no univ. incompleta (045)",72,23,15,31,,3,
"Superior no univ. completa (046)",138,89,17,27,,5,
"Superior univ. incompleta (047)",49,23,9,14,2,1,
"Superior univ. completa (048)",171,127,7,34,2,1,
"Mujeres (050)",807,237,44,331,10,145,40
"Sin nivel (051)",49,,2,26,1,15,5
"Educación inicial (052)",1,,,1,,,
"Primaria (053)",245,10,21,123,1,70,20
"Secundaria (054)",224,22,17,119,2,52,12
"Superior no univ. incompleta (055)",28,7,1,14,3,1,2
"Superior no univ. completa (056)",125,95,2,25,,2,1
"Superior univ. incompleta (057)",13,7,1,3,,2,
"Superior univ. completa (058)",122,96,,20,3,3,
,,,,,,,
"RURAL (060)",5790,442,1748,2436,33,1105,26
"Sin nivel (061)",486,,29,247,2,200,8
"Educación inicial (062)",3,,,3,,,
"Primaria (063)",2341,23,450,1255,15,589,9
"Secundaria (064)",2187,80,1011,782,12,294,8
"Superior no univ. incompleta (065)",148,32,75,35,,6,
"Superior no univ. completa (066)",290,123,119,40,2,6,
"Superior univ. incompleta (067)",86,16,36,28,,6,
"Superior univ. completa (068)",249,168,28,46,2,4,1
"Hombres (070)",4309,289,1624,1810,23,559,4
"Sin nivel (071)",169,,12,93,1,61,2
"Educación inicial (072)",2,,,2,,,
"Primaria (073)",1648,11,396,950,9,281,1
"Secundaria (074)",1896,62,971,647,10,205,1
"Superior no univ. incompleta (075)",120,19,73,25,,3,
"Superior no univ. completa (076)",213,68,111,28,1,5,
"Superior univ. incompleta (077)",77,13,35,26,,3,
"Superior univ. completa (078)",184,116,26,39,2,1,
"Mujeres (080)",1481,153,124,626,10,546,22
"Sin nivel (081)",317,,17,154,1,139,6
"Educación inicial (082)",1,,,1,,,
"Primaria (083)",693,12,54,305,6,308,8
"Secundaria (084)",291,18,40,135,2,89,7
"Superior no univ. incompleta (085)",28,13,2,10,,3,
"Superior no univ. completa (086)",77,55,8,12,1,1,
"Superior univ. incompleta (087)",9,3,1,2,,3,
"Superior univ. completa (088)",65,52,2,7,,3,1
