"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia HUANCA SANCOS (000)",3004,32,94,210,336,665,983,684
"De 12 a 14 años (001)",6,,,,,,,6
"De 15 a 19 años (002)",54,,,,,,35,19
"De 20 a 24 años (003)",261,,,,,3,173,85
"De 25 a 29 años (004)",299,,,,,9,213,77
"De 30 a 34 años (005)",312,,,,,53,195,64
"De 35 a 39 años (006)",342,,,,1,119,185,37
"De 40 a 44 años (007)",320,,,,12,141,118,49
"De 45 a 49 años (008)",274,,,1,34,140,56,43
"De 50 y más años (009)",1136,32,94,209,289,200,8,304
"Sin nivel (010)",869,24,59,124,144,164,108,246
"De 15 a 19 años (012)",1,,,,,,,1
"De 20 a 24 años (013)",8,,,,,,6,2
"De 25 a 29 años (014)",18,,,,,,15,3
"De 30 a 34 años (015)",32,,,,,4,18,10
"De 35 a 39 años (016)",41,,,,,13,22,6
"De 40 a 44 años (017)",77,,,,1,30,26,20
"De 45 a 49 años (018)",79,,,,6,40,19,14
"De 50 y más años (019)",613,24,59,124,137,77,2,190
"Educacion Inicial (020)",7,,,,,1,3,3
"De 20 a 24 años (023)",1,,,,,,1,
"De 25 a 29 años (024)",3,,,,,1,2,
"De 30 a 34 años (025)",2,,,,,,,2
"De 35 a 39 años (026)",1,,,,,,,1
"Primaria (030)",1375,8,33,81,157,364,477,255
"De 12 a 14 años (031)",6,,,,,,,6
"De 15 a 19 años (032)",24,,,,,,15,9
"De 20 a 24 años (033)",106,,,,,2,72,32
"De 25 a 29 años (034)",131,,,,,3,98,30
"De 30 a 34 años (035)",151,,,,,33,98,20
"De 35 a 39 años (036)",183,,,,,69,99,15
"De 40 a 44 años (037)",174,,,,9,84,60,21
"De 45 a 49 años (038)",135,,,1,15,73,29,17
"De 50 y más años (039)",465,8,33,80,133,100,6,105
"Secundaria (040)",491,,,5,22,83,265,116
"De 15 a 19 años (042)",29,,,,,,20,9
"De 20 a 24 años (043)",120,,,,,1,79,40
"De 25 a 29 años (044)",96,,,,,2,69,25
"De 30 a 34 años (045)",61,,,,,8,36,17
"De 35 a 39 años (046)",68,,,,,19,39,10
"De 40 a 44 años (047)",42,,,,1,20,18,3
"De 45 a 49 años (048)",38,,,,11,17,4,6
"De 50 y más años (049)",37,,,5,10,16,,6
"Sup. no Univ. incompleta (050)",56,,,,2,8,32,14
"De 20 a 24 años (053)",11,,,,,,5,6
"De 25 a 29 años (054)",16,,,,,1,11,4
"De 30 a 34 años (055)",11,,,,,1,8,2
"De 35 a 39 años (056)",10,,,,,2,8,
"De 40 a 44 años (057)",2,,,,,,,2
