"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ZARUMILLA (000)",15599,11926,1454,805,1414
"Agric., ganadería, caza y silvicultura (001)",2467,2290,121,47,9
"Pesca (002)",468,125,54,93,196
"Explotación de minas y canteras (003)",25,8,2,2,13
"Industrias manufactureras (004)",591,482,52,31,26
"Suministro de electricidad, gas y agua (005)",20,11,2,7,
"Construcción (006)",807,524,122,58,103
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3789,3495,242,48,4
"Venta, mant.y rep. veh.autom y motoc. (008)",180,161,12,6,1
"Comercio al por mayor (009)",187,145,26,13,3
"Comercio al por menor (010)",3422,3189,204,29,
"Hoteles y restaurantes (011)",904,804,84,9,7
"Trans., almac. y comunicaciones (012)",3140,2518,435,107,80
"Intermediación financiera (013)",26,18,3,5,
"Activid.inmobil., empres. y alquileres (014)",401,205,60,74,62
"Admin.pub. y defensa; p. segur soc.afil (015)",682,,,,682
"Enseñanza (016)",642,138,142,239,123
"Servicios sociales y de salud (017)",144,64,11,15,54
"Otras activ. serv.comun.soc y personales (018)",510,360,73,47,30
"Hogares privados con servicio doméstico (019)",394,394,,,
"Actividad economica no especificada (021)",589,490,51,23,25
"Hombres (022)",11487,8619,1176,592,1100
"Agric., ganadería, caza y silvicultura (023)",2360,2194,115,42,9
"Pesca (024)",459,122,52,90,195
"Explotación de minas y canteras (025)",23,6,2,2,13
"Industrias manufactureras (026)",476,388,42,23,23
"Suministro de electricidad, gas y agua (027)",20,11,2,7,
"Construcción (028)",791,513,119,57,102
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2161,1946,179,33,3
"Venta, mant.y rep. veh.autom y motoc. (030)",166,147,12,6,1
"Comercio al por mayor (031)",112,78,21,11,2
"Comercio al por menor (032)",1883,1721,146,16,
"Hoteles y restaurantes (033)",300,241,47,6,6
"Trans., almac. y comunicaciones (034)",3066,2459,427,102,78
"Intermediación financiera (035)",22,14,3,5,
"Activid.inmobil., empres. y alquileres (036)",332,160,54,63,55
"Admin.pub. y defensa; p. segur soc.afil (037)",507,,,,507
"Enseñanza (038)",255,31,59,108,57
"Servicios sociales y de salud (039)",51,24,2,7,18
"Otras activ. serv.comun.soc y personales (040)",323,235,39,36,13
"Hogares privados con servicio doméstico (041)",25,25,,,
