"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUANTA (000)",29250,692,10717,9800,6417,1624
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",38,,4,27,7,
"Profes., científicos e intelectuales (002)",1768,,441,983,329,15
"Técnicos de nivel medio y trab.asimilados (003)",490,,184,188,106,12
"Jefes y empleados de oficina (004)",318,,136,122,58,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2618,61,845,931,645,136
"Agricult.trabaj. calif. agrop. y pesqueros (006)",10972,39,3167,3797,3016,953
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",713,12,287,224,148,42
"Obreros construc., conf., papel, fab., instr. (008)",1342,3,529,527,256,27
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",8810,544,4071,2332,1528,335
"Otra (010)",120,,28,79,13,
"Ocupación no especificada (011)",716,7,303,198,149,59
"Desocupado (012)",1345,26,722,392,162,43
"Hombres (013)",20117,440,7403,6743,4342,1189
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",32,,2,23,7,
"Profes., científicos e intelectuales (015)",851,,166,481,190,14
"Técnicos de nivel medio y trab.asimilados (016)",308,,116,114,69,9
"Jefes y empleados de oficina (017)",168,,56,71,40,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",910,34,294,313,219,50
"Agricult.trabaj. calif. agrop. y pesqueros (019)",9521,28,2780,3371,2529,813
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",570,10,233,174,119,34
"Obreros construc., conf., papel, fab., instr. (021)",1305,2,513,515,249,26
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",5097,342,2594,1249,729,183
"Otra (023)",115,,25,77,13,
"Ocupación no especificada (024)",294,4,141,72,47,30
"Desocupado (025)",946,20,483,283,131,29
"Mujeres (026)",9133,252,3314,3057,2075,435
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",6,,2,4,,
"Profes., científicos e intelectuales (028)",917,,275,502,139,1
"Técnicos de nivel medio y trab.asimilados (029)",182,,68,74,37,3
"Jefes y empleados de oficina (030)",150,,80,51,18,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1708,27,551,618,426,86
"Agricult.trabaj. calif. agrop. y pesqueros (032)",1451,11,387,426,487,140
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",143,2,54,50,29,8
