"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia BOLIVAR (000)",16650,8607,8043,5754,2907,2847,10896,5700,5196
"Menores de 1 año (001)",434,225,209,124,63,61,310,162,148
"Menores de 1 mes (002)",30,16,14,11,5,6,19,11,8
"De 1 a 11 meses (003)",404,209,195,113,58,55,291,151,140
"De 1 a 4 años (004)",1901,981,920,516,275,241,1385,706,679
"1 año (005)",398,201,197,102,53,49,296,148,148
"2 años (006)",450,222,228,117,63,54,333,159,174
"3 años (007)",550,295,255,155,80,75,395,215,180
"4 años (008)",503,263,240,142,79,63,361,184,177
"De 5 a 9 años (009)",2278,1162,1116,690,351,339,1588,811,777
"5 años (010)",438,230,208,130,65,65,308,165,143
"6 años (011)",427,206,221,113,49,64,314,157,157
"7 años (012)",503,253,250,160,83,77,343,170,173
"8 años (013)",454,238,216,139,69,70,315,169,146
"9 años (014)",456,235,221,148,85,63,308,150,158
"De 10 a 14 años (015)",2448,1279,1169,830,401,429,1618,878,740
"10 años (016)",518,287,231,154,76,78,364,211,153
"11 años (017)",467,231,236,161,84,77,306,147,159
"12 años (018)",507,276,231,160,73,87,347,203,144
"13 años (019)",493,248,245,184,98,86,309,150,159
"14 años (020)",463,237,226,171,70,101,292,167,125
"De 15 a 19 años (021)",1617,872,745,616,327,289,1001,545,456
"15 años (022)",432,237,195,174,95,79,258,142,116
"16 años (023)",399,218,181,160,84,76,239,134,105
"17 años (024)",321,173,148,119,61,58,202,112,90
"18 años (025)",260,141,119,88,48,40,172,93,79
"19 años (026)",205,103,102,75,39,36,130,64,66
"De 20 a 24 años (027)",1040,534,506,307,152,155,733,382,351
"20 años (028)",240,135,105,67,40,27,173,95,78
"21 años (029)",159,80,79,50,28,22,109,52,57
"22 años (030)",201,85,116,65,25,40,136,60,76
"23 años (031)",221,114,107,65,29,36,156,85,71
"24 años (032)",219,120,99,60,30,30,159,90,69
"De 25 a 29 años (033)",1015,511,504,348,165,183,667,346,321
"25 años (034)",233,117,116,75,35,40,158,82,76
"26 años (035)",182,92,90,57,26,31,125,66,59
"27 años (036)",226,122,104,84,45,39,142,77,65
"28 años (037)",190,89,101,70,29,41,120,60,60
"29 años (038)",184,91,93,62,30,32,122,61,61
"De 30 a 34 años (039)",948,469,479,331,154,177,617,315,302
"30 años (040)",227,107,120,71,35,36,156,72,84
"31 años (041)",169,83,86,58,25,33,111,58,53
"32 años (042)",223,122,101,79,47,32,144,75,69
"33 años (043)",168,80,88,62,26,36,106,54,52
"34 años (044)",161,77,84,61,21,40,100,56,44
"De 35 a 39 años (045)",977,500,477,383,200,183,594,300,294
"35 años (046)",155,77,78,66,32,34,89,45,44
"36 años (047)",190,98,92,59,32,27,131,66,65
