"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ZARUMILLA (000)",15599,358,18,4534,7167,922,1358,423,819
"Agric., ganadería, caza y silvicultura (001)",2467,117,4,1155,933,102,102,28,26
"Pesca (002)",468,8,1,160,233,19,19,8,20
"Explotación de minas y canteras (003)",25,1,,3,11,,3,1,6
"Industrias manufactureras (004)",591,13,2,147,330,26,34,14,25
"Suministro de electricidad, gas y agua (005)",20,,,2,10,4,3,,1
"Construcción (006)",807,17,,213,433,43,58,12,31
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3789,59,3,969,1975,252,274,125,132
"Venta, mant.y rep. veh.autom.y motoc. (008)",180,5,,28,85,23,22,6,11
"Comercio al por mayor (009)",187,2,,41,92,13,17,16,6
"Comercio al por menor (010)",3422,52,3,900,1798,216,235,103,115
"Hoteles y restaurantes (011)",904,21,1,316,429,57,52,15,13
"Trans., almac. y comunicaciones (012)",3140,70,4,990,1689,155,113,65,54
"Intermediación financiera (013)",26,,,4,13,2,3,1,3
"Activid.inmobil., empres. y de alquiler (014)",401,3,,77,133,36,53,29,70
"Admin.pub. y defensa; p. segur.soc.afil (015)",682,6,,49,213,64,192,44,114
"Enseñanza (016)",642,,,3,57,36,313,35,198
"Servicios sociales y de salud (017)",144,1,,9,26,13,31,12,52
"Otras activ. serv.comun.soc y personales (018)",510,8,,126,203,58,55,24,36
"Hogares privados con servicio doméstico (019)",394,18,1,163,188,9,10,1,4
"Actividad economica no especificada (021)",589,16,2,148,291,46,43,9,34
"Hombres (022)",11487,250,13,3427,5491,661,816,291,538
"Agric., ganadería, caza y silvicultura (023)",2360,111,4,1101,896,98,97,27,26
"Pesca (024)",459,7,1,156,233,18,19,6,19
"Explotación de minas y canteras (025)",23,1,,3,9,,3,1,6
"Industrias manufactureras (026)",476,7,,123,269,21,25,12,19
"Suministro de electricidad, gas y agua (027)",20,,,2,10,4,3,,1
"Construcción (028)",791,16,,212,426,43,55,11,28
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2161,27,2,527,1192,148,121,67,77
"Venta, mant.y rep. veh.autom.y motoc. (030)",166,5,,25,76,22,22,5,11
"Comercio al por mayor (031)",112,1,,25,59,6,10,8,3
"Comercio al por menor (032)",1883,21,2,477,1057,120,89,54,63
"Hoteles y restaurantes (033)",300,1,,89,149,25,22,10,4
"Trans., almac. y comunicaciones (034)",3066,67,4,970,1659,151,106,59,50
"Intermediación financiera (035)",22,,,3,11,2,2,1,3
"Activid.inmobil., empres. y de alquiler (036)",332,2,,69,116,31,41,21,52
"Admin.pub. y defensa; p. segur.soc.afil (037)",507,3,,26,167,42,145,29,95
"Enseñanza (038)",255,,,3,15,13,115,17,92
"Servicios sociales y de salud (039)",51,,,,6,5,13,6,21
"Otras activ. serv.comun.soc y personales (040)",323,3,,70,142,41,30,18,19
"Hogares privados con servicio doméstico (041)",25,,,8,17,,,,
"Actividad economica no especificada (043)",316,5,2,65,174,19,19,6,26
"Mujeres (044)",4112,108,5,1107,1676,261,542,132,281
