"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia FERREÑAFE (000)",2133,49,1049,583,376,76
"Conviviente (001)",483,1,182,204,87,9
"Separado(a) (002)",83,,26,38,17,2
"Casado(a) (003)",525,,80,189,210,46
"Viudo(a) (004)",18,,1,4,6,7
"Divorciado(a) (005)",8,,,2,5,1
"Soltero(a) (006)",1016,48,760,146,51,11
"Hombres (008)",1623,35,722,449,343,74
"Conviviente (009)",403,,140,172,82,9
"Separado(a) (010)",46,,9,23,12,2
"Casado(a) (011)",457,,64,152,196,45
"Viudo(a) (012)",14,,,2,5,7
"Divorciado(a) (013)",7,,,1,5,1
"Soltero(a) (014)",696,35,509,99,43,10
"Mujeres (016)",510,14,327,134,33,2
"Conviviente (017)",80,1,42,32,5,
"Separado(a) (018)",37,,17,15,5,
"Casado(a) (019)",68,,16,37,14,1
"Viudo(a) (020)",4,,1,2,1,
"Divorciado(a) (021)",1,,,1,,
"Soltero(a) (022)",320,13,251,47,8,1
,,,,,,
"AREA URBANA (024)",1462,26,744,380,264,48
"Conviviente (025)",280,,111,110,56,3
"Separado(a) (026)",73,,22,33,16,2
"Casado(a) (027)",350,,53,125,141,31
"Viudo(a) (028)",11,,1,3,4,3
"Divorciado(a) (029)",7,,,2,5,
"Soltero(a) (030)",741,26,557,107,42,9
"Hombres (032)",1042,19,482,263,232,46
"Conviviente (033)",214,,74,85,52,3
"Separado(a) (034)",41,,7,21,11,2
"Casado(a) (035)",283,,37,89,127,30
"Viudo(a) (036)",7,,,1,3,3
"Divorciado(a) (037)",6,,,1,5,
"Soltero(a) (038)",491,19,364,66,34,8
"Mujeres (040)",420,7,262,117,32,2
"Conviviente (041)",66,,37,25,4,
"Separado(a) (042)",32,,15,12,5,
"Casado(a) (043)",67,,16,36,14,1
"Viudo(a) (044)",4,,1,2,1,
"Divorciado(a) (045)",1,,,1,,
"Soltero(a) (046)",250,7,193,41,8,1
,,,,,,
"AREA RURAL (048)",671,23,305,203,112,28
"Conviviente (049)",203,1,71,94,31,6
"Separado(a) (050)",10,,4,5,1,
"Casado(a) (051)",175,,27,64,69,15
"Viudo(a) (052)",7,,,1,2,4
"Divorciado(a) (053)",1,,,,,1
"Soltero(a) (054)",275,22,203,39,9,2
"Hombres (056)",581,16,240,186,111,28
"Conviviente (057)",189,,66,87,30,6
"Separado(a) (058)",5,,2,2,1,
"Casado(a) (059)",174,,27,63,69,15
"Viudo(a) (060)",7,,,1,2,4
"Divorciado(a) (061)",1,,,,,1
"Soltero(a) (062)",205,16,145,33,9,2
"Mujeres (064)",90,7,65,17,1,
"Conviviente (065)",14,1,5,7,1,
"Separado(a) (066)",5,,2,3,,
"Casado(a) (067)",1,,,1,,
"Soltero(a) (070)",70,6,58,6,,
