"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia SIHUAS (000)",30700,15106,15594,7977,3997,3980,22723,11109,11614
"Menores de 1 año (001)",580,286,294,135,68,67,445,218,227
"Menores de 1 mes (002)",45,21,24,14,10,4,31,11,20
"De 1 a 11 meses (003)",535,265,270,121,58,63,414,207,207
"De 1 a 4 años (004)",3134,1591,1543,694,367,327,2440,1224,1216
"1 año (005)",745,367,378,170,87,83,575,280,295
"2 años (006)",811,408,403,187,102,85,624,306,318
"3 años (007)",784,394,390,165,86,79,619,308,311
"4 años (008)",794,422,372,172,92,80,622,330,292
"De 5 a 9 años (009)",3682,1847,1835,794,399,395,2888,1448,1440
"5 años (010)",726,376,350,162,83,79,564,293,271
"6 años (011)",645,306,339,132,66,66,513,240,273
"7 años (012)",717,364,353,148,76,72,569,288,281
"8 años (013)",814,414,400,197,101,96,617,313,304
"9 años (014)",780,387,393,155,73,82,625,314,311
"De 10 a 14 años (015)",4614,2314,2300,1075,560,515,3539,1754,1785
"10 años (016)",882,435,447,186,94,92,696,341,355
"11 años (017)",906,464,442,209,116,93,697,348,349
"12 años (018)",1013,520,493,241,131,110,772,389,383
"13 años (019)",884,423,461,212,107,105,672,316,356
"14 años (020)",929,472,457,227,112,115,702,360,342
"De 15 a 19 años (021)",3193,1703,1490,855,458,397,2338,1245,1093
"15 años (022)",792,408,384,213,122,91,579,286,293
"16 años (023)",703,387,316,187,103,84,516,284,232
"17 años (024)",686,379,307,172,99,73,514,280,234
"18 años (025)",563,295,268,150,67,83,413,228,185
"19 años (026)",449,234,215,133,67,66,316,167,149
"De 20 a 24 años (027)",2182,1046,1136,628,298,330,1554,748,806
"20 años (028)",517,258,259,147,70,77,370,188,182
"21 años (029)",397,196,201,130,59,71,267,137,130
"22 años (030)",438,205,233,114,58,56,324,147,177
"23 años (031)",406,185,221,120,57,63,286,128,158
"24 años (032)",424,202,222,117,54,63,307,148,159
"De 25 a 29 años (033)",1669,861,808,528,282,246,1141,579,562
"25 años (034)",361,192,169,106,66,40,255,126,129
"26 años (035)",345,168,177,90,38,52,255,130,125
"27 años (036)",331,184,147,112,62,50,219,122,97
"28 años (037)",332,163,169,113,57,56,219,106,113
"29 años (038)",300,154,146,107,59,48,193,95,98
"De 30 a 34 años (039)",1692,768,924,523,238,285,1169,530,639
"30 años (040)",422,208,214,126,62,64,296,146,150
"31 años (041)",305,137,168,94,43,51,211,94,117
"32 años (042)",327,135,192,91,40,51,236,95,141
"33 años (043)",316,142,174,119,50,69,197,92,105
"34 años (044)",322,146,176,93,43,50,229,103,126
"De 35 a 39 años (045)",1729,820,909,552,268,284,1177,552,625
"35 años (046)",330,152,178,91,39,52,239,113,126
