"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUANCABAMBA (000)",115535,6352,16067,17945,12294,16808,14053,23676,8340
"Sabe leer y escribir (001)",82779,,8733,17258,11628,14598,11256,15791,3515
"No sabe leer y escribir (002)",32756,6352,7334,687,666,2210,2797,7885,4825
"Hombres (004)",57923,3218,8110,9219,6469,8304,6887,11657,4059
"Sabe leer y escribir (005)",45608,,4411,8903,6207,7667,6197,9708,2515
"No sabe leer y escribir (006)",12315,3218,3699,316,262,637,690,1949,1544
"Mujeres (008)",57612,3134,7957,8726,5825,8504,7166,12019,4281
"Sabe leer y escribir (009)",37171,,4322,8355,5421,6931,5059,6083,1000
"No sabe leer y escribir (010)",20441,3134,3635,371,404,1573,2107,5936,3281
,,,,,,,,,
"URBANA (012)",14551,567,1557,1903,1632,2274,2200,3361,1057
"Sabe leer y escribir (013)",12914,,1185,1890,1606,2213,2121,3087,812
"No sabe leer y escribir (014)",1637,567,372,13,26,61,79,274,245
"Hombres (016)",7153,288,781,1026,787,1078,1031,1646,516
"Sabe leer y escribir (017)",6504,,581,1019,781,1067,1010,1590,456
"No sabe leer y escribir (018)",649,288,200,7,6,11,21,56,60
"Mujeres (020)",7398,279,776,877,845,1196,1169,1715,541
"Sabe leer y escribir (021)",6410,,604,871,825,1146,1111,1497,356
"No sabe leer y escribir (022)",988,279,172,6,20,50,58,218,185
,,,,,,,,,
"RURAL (024)",100984,5785,14510,16042,10662,14534,11853,20315,7283
"Sabe leer y escribir (025)",69865,,7548,15368,10022,12385,9135,12704,2703
"No sabe leer y escribir (026)",31119,5785,6962,674,640,2149,2718,7611,4580
"Hombres (028)",50770,2930,7329,8193,5682,7226,5856,10011,3543
"Sabe leer y escribir (029)",39104,,3830,7884,5426,6600,5187,8118,2059
"No sabe leer y escribir (030)",11666,2930,3499,309,256,626,669,1893,1484
"Mujeres (032)",50214,2855,7181,7849,4980,7308,5997,10304,3740
"Sabe leer y escribir (033)",30761,,3718,7484,4596,5785,3948,4586,644
"No sabe leer y escribir (034)",19453,2855,3463,365,384,1523,2049,5718,3096
