"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia MAYNAS (000)",177995,437370,400945,,11365,91.7,2.6
"De 12 a 14 años (001)",18022,165,153,,38,92.7,23
"De 15 a 19 años (002)",28542,6677,6472,1781,96.9,26.7,
"De 20 a 24 años (003)",24357,23459,22776,3015,97.1,12.9,
"De 25 a 29 años (004)",20213,35160,34098,2726,97,7.8,
"De 30 a 34 años (005)",16940,44208,42443,2023,96,4.6,
"De 35 a 39 años (006)",15021,51239,48592,1270,94.8,2.5,
"De 40 a 44 años (007)",13435,53233,49986,446,93.9,0.8,
"De 45 a 49 años (008)",10946,49451,45635,65,92.3,0.1,
"De 50 y más años (009)",30519,173778,150790,1,86.8,,
"Conviviente (010)",64221,204503,189307,8033,92.6,3.9,
"De 12 a 14 años (011)",337,73,70,15,95.9,20.5,
"De 15 a 19 años (012)",5549,4551,4392,1246,96.5,27.4,
"De 20 a 24 años (013)",11689,17406,16866,2258,96.9,13,
"De 25 a 29 años (014)",11524,25243,24426,1986,96.8,7.9,
"De 30 a 34 años (015)",9475,28883,27652,1391,95.7,4.8,
"De 35 a 39 años (016)",7693,29984,28288,816,94.3,2.7,
"De 40 a 44 años (017)",5958,27324,25424,283,93,1,
"De 45 a 49 años (018)",4354,23039,20999,37,91.1,0.2,
"De 50 y más años (019)",7642,48000,41190,1,85.8,,
"Separado(a) (020)",7237,23749,21986,477,92.6,2,
"De 12 a 14 años (021)",14,2,2,2,100,100,
"De 15 a 19 años (022)",379,371,364,99,98.1,26.7,
"De 20 a 24 años (023)",772,1092,1063,141,97.3,12.9,
"De 25 a 29 años (024)",773,1464,1437,103,98.2,7,
"De 30 a 34 años (025)",793,1896,1798,77,94.8,4.1,
"De 35 a 39 años (026)",833,2520,2412,37,95.7,1.5,
"De 40 a 44 años (027)",936,3237,3072,15,94.9,0.5,
"De 45 a 49 años (028)",754,3071,2852,3,92.9,0.1,
"De 50 y más años (029)",1983,10096,8986,,89,,
"Casado(a) (030)",33929,143362,131436,1679,91.7,1.2,
"De 12 a 14 años (031)",18,7,5,,71.4,,
"De 15 a 19 años (032)",300,263,250,53,95.1,20.2,
"De 20 a 24 años (033)",1247,1751,1709,232,97.6,13.2,
"De 25 a 29 años (034)",2580,5211,5075,430,97.4,8.3,
