"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CARAVELI (000)",8597,8179,40,1957,1887,1361,1513,781,437,203,418,27330
"De 12 a 14 años (001)",10,7,2,5,,,,,,,3,5
"De 15 a 19 años (002)",236,210,4,184,20,2,,,,,26,230
"De 20 a 24 años (003)",1071,933,6,640,231,51,5,,,,138,1277
"De 25 a 29 años (004)",1217,1132,1,469,454,150,55,3,,,85,2073
"De 30 a 34 años (005)",1195,1131,2,261,401,287,164,15,1,,64,2730
"De 35 a 39 años (006)",1102,1066,3,134,304,285,258,74,8,,36,3237
"De 40 a 44 años (007)",868,849,3,73,169,195,281,95,22,11,19,3150
"De 45 a 49 años (008)",687,678,2,48,104,131,218,107,58,10,9,2894
"De 50 y más años (009)",2211,2173,17,143,204,260,532,487,348,182,38,11734
"Conviviente (010)",4251,4150,23,1214,1111,708,665,263,113,53,101,11670
"De 12 a 14 años (011)",5,4,2,2,,,,,,,1,2
"De 15 a 19 años (012)",177,155,4,133,17,1,,,,,22,170
"De 20 a 24 años (013)",751,717,5,477,189,43,3,,,,34,997
"De 25 a 29 años (014)",848,833,1,323,347,118,43,1,,,15,1555
"De 30 a 34 años (015)",765,752,,148,262,206,127,8,1,,13,1895
"De 35 a 39 años (016)",627,621,3,66,163,157,173,52,7,,6,1997
"De 40 a 44 años (017)",384,379,2,24,63,86,134,50,12,8,5,1507
"De 45 a 49 años (018)",263,263,2,16,36,47,94,42,21,5,,1150
"De 50 y más años (019)",431,426,4,25,34,50,91,110,72,40,5,2397
"Separado(a) (020)",501,491,1,107,94,83,103,55,37,11,10,1773
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",10,8,,7,1,,,,,,2,9
"De 20 a 24 años (023)",41,40,1,28,8,2,1,,,,1,54
