"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia EL DORADO (000)",10606,10294,2522,1429,1504,1118,1504,966,677,574,312,32929
"De 12 a 14 años (001)",1245,1225,1214,10,1,,,,,,20,12
"De 15 a 19 años (002)",1531,1434,920,418,87,6,3,,,,97,622
"De 20 a 24 años (003)",1398,1322,201,509,426,144,37,5,,,76,1981
"De 25 a 29 años (004)",1191,1150,55,242,378,295,157,22,1,,41,2691
"De 30 a 34 años (005)",1016,1003,36,86,262,240,296,70,13,,13,3163
"De 35 a 39 años (006)",969,956,16,65,158,174,314,176,43,10,13,3902
"De 40 a 44 años (007)",773,767,21,33,77,109,231,173,88,35,6,3772
"De 45 a 49 años (008)",644,640,12,16,45,58,170,166,101,72,4,3778
"De 50 y más años (009)",1839,1797,47,50,70,92,296,354,431,457,42,13008
"Sin nivel (010)",1611,1571,93,79,96,115,268,289,298,333,40,10094
"De 12 a 14 años (011)",26,23,23,,,,,,,,3,
"De 15 a 19 años (012)",45,42,18,19,4,,1,,,,3,31
"De 20 a 24 años (013)",69,67,12,15,18,12,9,1,,,2,132
"De 25 a 29 años (014)",76,72,5,8,15,22,15,7,,,4,213
"De 30 a 34 años (015)",96,92,6,5,11,21,34,14,1,,4,331
"De 35 a 39 años (016)",115,111,1,7,7,12,37,30,13,4,4,569
"De 40 a 44 años (017)",117,115,3,3,4,10,25,33,23,14,2,714
"De 45 a 49 años (018)",158,156,3,2,9,9,34,36,30,33,2,1072
"De 50 y más años (019)",909,893,22,20,28,29,113,168,231,282,16,7032
"Educacion Inicial (020)",24,24,4,4,2,6,2,3,3,,,78
"De 15 a 19 años (022)",3,3,2,1,,,,,,,,1
"De 20 a 24 años (023)",6,6,1,2,1,2,,,,,,10
