"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ESPINAR (000)",60806,26878,33928
"Casa independiente (001)",52537,26570,25967
"Departamento en edificio (002)",40,40,
"Vivienda en quinta (003)",105,105,
"Vivienda en casa de vecindad (004)",109,109,
"Choza o cabaña (005)",7920,,7920
"Vivienda improvisada (006)",4,4,
"Local no dest.para hab. humana (007)",81,45,36
"Otro tipo (008)",10,5,5
