"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia TOCACHE (000)",16327,34,194,541,1403,3648,6812,3695
"De 12 a 14 años (001)",37,,,,,,7,30
"De 15 a 19 años (002)",833,,,,,,508,325
"De 20 a 24 años (003)",2118,,,,,7,1388,723
"De 25 a 29 años (004)",2181,,,,,135,1491,555
"De 30 a 34 años (005)",2097,,,,1,392,1306,398
"De 35 a 39 años (006)",2269,,,,37,726,1139,367
"De 40 a 44 años (007)",2051,,,,130,930,684,307
"De 45 a 49 años (008)",1474,,,4,249,779,245,197
"De 50 y más años (009)",3267,34,194,537,986,679,44,793
"Conviviente (010)",9063,6,33,103,438,1848,4689,1946
"De 12 a 14 años (011)",19,,,,,,3,16
"De 15 a 19 años (012)",621,,,,,,379,242
"De 20 a 24 años (013)",1561,,,,,4,1108,449
"De 25 a 29 años (014)",1539,,,,,81,1112,346
"De 30 a 34 años (015)",1360,,,,,236,870,254
"De 35 a 39 años (016)",1317,,,,17,412,685,203
"De 40 a 44 años (017)",1090,,,,64,498,381,147
"De 45 a 49 años (018)",686,,,1,101,365,130,89
"De 50 y más años (019)",870,6,33,102,256,252,21,200
"Separado(a) (020)",946,1,11,50,98,270,284,232
"De 12 a 14 años (021)",2,,,,,,,2
"De 15 a 19 años (022)",51,,,,,,30,21
"De 20 a 24 años (023)",96,,,,,1,59,36
"De 25 a 29 años (024)",95,,,,,14,57,24
"De 30 a 34 años (025)",115,,,,,32,61,22
"De 35 a 39 años (026)",119,,,,3,54,40,22
"De 40 a 44 años (027)",126,,,,7,66,27,26
"De 45 a 49 años (028)",91,,,,16,51,9,15
"De 50 y más años (029)",251,1,11,50,72,52,1,64
"Casado(a) (030)",4304,7,46,203,629,1245,1442,732
"De 12 a 14 años (031)",3,,,,,,,3
"De 15 a 19 años (032)",33,,,,,,16,17
"De 20 a 24 años (033)",171,,,,,2,115,54
"De 25 a 29 años (034)",330,,,,,27,240,63
"De 30 a 34 años (035)",488,,,,,92,326,70
"De 35 a 39 años (036)",708,,,,9,219,381,99
"De 40 a 44 años (037)",699,,,,43,302,258,96
"De 45 a 49 años (038)",573,,,2,112,307,86,66
"De 50 y más años (039)",1299,7,46,201,465,296,20,264
"Viudo(a) (040)",978,20,102,165,194,155,75,267
"De 12 a 14 años (041)",1,,,,,,,1
"De 15 a 19 años (042)",3,,,,,,1,2
"De 20 a 24 años (043)",6,,,,,,5,1
"De 25 a 29 años (044)",10,,,,,1,8,1
"De 30 a 34 años (045)",17,,,,,3,11,3
"De 35 a 39 años (046)",37,,,,3,10,17,7
"De 40 a 44 años (047)",58,,,,6,29,14,9
"De 45 a 49 años (048)",87,,,,15,38,17,17
