"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MOYOBAMBA (000)",107082,5614,13705,14676,12353,20047,16010,20019,4658
"Sin nivel (001)",13057,5614,1603,182,252,645,851,2508,1402
"Educación inicial (002)",2970,,2631,166,26,86,61,,
"Primaria (003)",53514,,9471,10197,3805,8763,7596,10955,2727
"Secundaria (004)",26998,,,4131,7406,6916,4399,3853,293
"Superior no univ. incompleto (005)",2575,,,,560,1077,527,387,24
"Superior no univ. completo (006)",3983,,,,,1325,1433,1130,95
"Superior univ. incompleto (007)",1475,,,,304,581,283,291,16
"Superior univ. completo (008)",2510,,,,,654,860,895,101
"Hombres (010)",55586,2918,7078,7456,6366,10268,8299,10880,2321
"Sin nivel (011)",5515,2918,868,99,112,240,241,646,391
"Educación inicial (012)",1548,,1383,78,13,37,37,,
"Primaria (013)",27742,,4827,5163,1931,4252,3809,6189,1571
"Secundaria (014)",15211,,,2116,3920,3916,2616,2450,193
"Superior no univ. incompleto (015)",1254,,,,235,517,248,238,16
"Superior no univ. completo (016)",1949,,,,,620,681,589,59
"Superior univ. incompleto (017)",877,,,,155,339,180,187,16
"Superior univ. completo (018)",1490,,,,,347,487,581,75
"Mujeres (020)",51496,2696,6627,7220,5987,9779,7711,9139,2337
"Sin nivel (021)",7542,2696,735,83,140,405,610,1862,1011
"Educación inicial (022)",1422,,1248,88,13,49,24,,
"Primaria (023)",25772,,4644,5034,1874,4511,3787,4766,1156
"Secundaria (024)",11787,,,2015,3486,3000,1783,1403,100
"Superior no univ. incompleto (025)",1321,,,,325,560,279,149,8
"Superior no univ. completo (026)",2034,,,,,705,752,541,36
"Superior univ. incompleto (027)",598,,,,149,242,103,104,
"Superior univ. completo (028)",1020,,,,,307,373,314,26
,,,,,,,,,
"URBANA (030)",64233,2847,7050,8455,7450,11446,10162,13466,3357
"Sin nivel (031)",5571,2847,472,55,80,175,288,931,723
"Educación inicial (032)",1704,,1620,30,8,30,16,,
"Primaria (033)",26811,,4958,5299,1239,3129,3542,6523,2121
"Secundaria (034)",20059,,,3071,5300,4720,3327,3360,281
