"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TARMA (000)",42825,661,12950,14602,11156,3456
"Agric., ganadería, caza y silvicultura (001)",20794,459,6214,6118,5616,2387
"Pesca (002)",4,,2,1,,1
"Explotación de minas y canteras (003)",328,,132,130,61,5
"Industrias manufactureras (004)",2443,33,804,790,618,198
"Suministro de electricidad, gas y agua (005)",49,,9,25,14,1
"Construcción (006)",1369,8,412,543,340,66
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6648,88,1900,2445,1775,440
"Venta, mant.y rep. veh.autom.y motoc. (008)",802,6,267,302,195,32
"Comercio al por mayor (009)",298,3,108,116,58,13
"Comercio al por menor (010)",5548,79,1525,2027,1522,395
"Hoteles y restaurantes (011)",1455,25,462,490,406,72
"Trans., almac. y comunicaciones (012)",2869,20,1084,1084,616,65
"Intermediación financiera (013)",114,,56,37,21,
"Activid.inmobil., empres. y alquileres (014)",1013,2,326,437,224,24
"Admin.pub. y defensa; p. segur.soc.afil (015)",663,,184,299,168,12
"Enseñanza (016)",2017,1,310,1137,548,21
"Servicios sociales y de salud (017)",653,,134,285,225,9
"Otras activ. serv.comun.soc y personales (018)",829,9,292,306,183,39
"Hogares privados con servicio doméstico (019)",619,12,305,159,113,30
"Actividad economica no especificada (021)",958,4,324,316,228,86
"Hombres (022)",28699,445,8786,9506,7468,2494
"Agric., ganadería, caza y silvicultura (023)",15874,318,4799,4667,4236,1854
"Pesca (024)",4,,2,1,,1
"Explotación de minas y canteras (025)",317,,126,125,61,5
"Industrias manufactureras (026)",1824,29,592,591,466,146
"Suministro de electricidad, gas y agua (027)",42,,5,23,13,1
"Construcción (028)",1321,8,394,521,333,65
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",3037,52,896,1057,808,224
"Venta, mant.y rep. veh.autom.y motoc. (030)",731,5,238,272,185,31
"Comercio al por mayor (031)",158,3,53,64,31,7
"Comercio al por menor (032)",2148,44,605,721,592,186
"Hoteles y restaurantes (033)",431,8,165,125,112,21
"Trans., almac. y comunicaciones (034)",2704,18,1002,1025,595,64
"Intermediación financiera (035)",60,,20,22,18,
"Activid.inmobil., empres. y alquileres (036)",728,2,216,332,159,19
"Admin.pub. y defensa; p. segur.soc.afil (037)",455,,102,220,121,12
"Enseñanza (038)",921,,127,478,304,12
"Servicios sociales y de salud (039)",198,,38,79,74,7
