"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia BONGARA (000)",25005,3299,729,13433,5638,334,714,307,551
"Jefe o Jefa (001)",6608,601,3,3764,1429,127,320,102,262
"Esposa(o)/ compa¤era(o) (002)",4402,626,8,2671,760,42,145,45,105
"Hijo(a)/ hijastro(a) (003)",10318,1462,574,5208,2623,88,145,111,107
"Yerno/ nuera (004)",363,7,,158,153,10,16,8,11
"Nieto(a) (005)",1070,253,100,517,171,10,8,8,3
"Padres/ suegros (006)",297,122,,156,14,1,1,,3
"Otro(a) pariente (007)",1442,187,38,762,337,37,38,19,24
"Trabajador(a) del hogar (008)",48,2,,26,19,,,,1
"Pensionista (009)",36,,,8,8,3,5,3,9
"Otro(a) no pariente (010)",421,39,6,163,124,16,36,11,26
"Hombres (012)",12704,1287,384,6788,3188,192,367,167,331
"Jefe o Jefa (013)",4988,299,3,2867,1181,96,236,83,223
"Esposa(o)/ compa¤era(o) (014)",224,12,,128,62,1,11,3,7
"Hijo(a)/ hijastro(a) (015)",5568,739,306,2830,1483,48,61,49,52
"Yerno/ nuera (016)",164,,,76,60,7,9,5,7
"Nieto(a) (017)",554,114,52,275,99,5,4,4,1
"Padres/ suegros (018)",79,13,,56,8,,1,,1
"Otro(a) pariente (019)",819,84,19,444,201,20,21,13,17
"Trabajador(a) del hogar (020)",1,,,,1,,,,
"Pensionista (021)",29,,,5,7,3,4,3,7
"Otro(a) no pariente (022)",278,26,4,107,86,12,20,7,16
"Mujeres (024)",12301,2012,345,6645,2450,142,347,140,220
"Jefe o Jefa (025)",1620,302,,897,248,31,84,19,39
"Esposa(o)/ compa¤era(o) (026)",4178,614,8,2543,698,41,134,42,98
"Hijo(a)/ hijastro(a) (027)",4750,723,268,2378,1140,40,84,62,55
"Yerno/ nuera (028)",199,7,,82,93,3,7,3,4
"Nieto(a) (029)",516,139,48,242,72,5,4,4,2
"Padres/ suegros (030)",218,109,,100,6,1,,,2
"Otro(a) pariente (031)",623,103,19,318,136,17,17,6,7
"Trabajador(a) del hogar (032)",47,2,,26,18,,,,1
"Pensionista (033)",7,,,3,1,,1,,2
"Otro(a) no pariente (034)",143,13,2,56,38,4,16,4,10
,,,,,,,,,
"URBANA (036)",14838,1414,408,7383,4139,292,614,204,384
"Jefe o Jefa (037)",4036,178,3,2156,1072,115,272,70,170
"Esposa(o)/ compa¤era(o) (038)",2564,187,6,1541,574,40,120,24,72
"Hijo(a)/ hijastro(a) (039)",5826,696,310,2600,1880,72,127,69,72
"Yerno/ nuera (040)",215,3,,84,89,10,15,5,9
"Nieto(a) (041)",681,150,64,321,129,4,6,4,3
"Padres/ suegros (042)",212,76,,119,12,1,1,,3
"Otro(a) pariente (043)",922,97,21,431,264,34,35,19,21
"Trabajador(a) del hogar (044)",40,2,,21,16,,,,1
"Pensionista (045)",28,,,5,4,3,5,3,8
"Otro(a) no pariente (046)",314,25,4,105,99,13,33,10,25
"Hombres (048)",7399,536,209,3562,2275,168,315,116,218
