"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia HUAYTARA (000)",6777,21756,1965,6453,4812,15303
"Casa independiente (001)",5504,17146,1901,6253,3603,10893
"Departamento en edificio (002)",6,24,6,24,,
"Vivienda en quinta (003)",18,61,18,61,,
"Vivienda en casa de vecindad (004)",34,105,34,105,,
"Choza o cabaña (005)",1197,4387,,,1197,4387
"Vivienda improvisada (006)",3,5,3,5,,
"Local no dest.para hab. humana (007)",11,18,2,4,9,14
"Otro tipo (008)",4,10,1,1,3,9
