"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",9225,9037,2300,1371,1373,998,1294,812,538,351,188,26506
"De 12 a 14 años (001)",933,923,919,3,1,,,,,,10,5
"De 15 a 19 años (002)",1143,1121,890,211,19,1,,,,,22,252
"De 20 a 24 años (003)",944,897,203,415,215,47,17,,,,47,1056
"De 25 a 29 años (004)",905,863,66,275,295,149,73,5,,,42,1653
"De 30 a 34 años (005)",861,847,40,159,270,183,154,34,6,1,14,2188
"De 35 a 39 años (006)",833,822,34,75,206,213,213,64,14,3,11,2619
"De 40 a 44 años (007)",735,725,20,50,146,143,221,100,31,14,10,2794
"De 45 a 49 años (008)",594,586,16,43,75,88,173,99,70,22,8,2668
"De 50 y más años (009)",2277,2253,112,140,146,174,443,510,417,311,24,13271
"Conviviente (010)",1925,1876,152,550,456,254,260,128,51,25,49,4870
"De 12 a 14 años (011)",17,7,4,2,1,,,,,,10,4
"De 15 a 19 años (012)",220,200,67,119,13,1,,,,,20,148
"De 20 a 24 años (013)",412,403,42,203,120,30,8,,,,9,566
"De 25 a 29 años (014)",377,370,13,126,122,68,37,4,,,7,758
"De 30 a 34 años (015)",281,281,7,54,92,57,56,12,2,1,,748
"De 35 a 39 años (016)",221,218,6,23,57,55,55,18,4,,3,691
"De 40 a 44 años (017)",134,134,4,8,24,21,40,24,10,3,,561
"De 45 a 49 años (018)",86,86,3,5,11,13,29,14,8,3,,379
"De 50 y más años (019)",177,177,6,10,16,9,35,56,27,18,,1015
"Separado(a) (020)",190,188,7,53,37,19,26,23,13,10,2,664
"De 15 a 19 años (022)",9,8,,6,2,,,,,,1,10
"De 20 a 24 años (023)",20,20,1,16,3,,,,,,,22
"De 25 a 29 años (024)",20,20,2,9,5,1,3,,,,,35
