"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia BELLAVISTA (000)",49293,48019,935,339
"Hombres (001)",26361,25793,405,163
"Mujeres (002)",22932,22226,530,176
"Menores de 1 año (003)",1165,837,262,66
"Hombres (004)",584,418,135,31
"Mujeres (005)",581,419,127,35
"De 1 a 5 años (006)",6320,5628,448,244
"Hombres (007)",3220,2873,224,123
"Mujeres (008)",3100,2755,224,121
"De 6 a 14 años (009)",10558,10519,31,8
"Hombres (010)",5472,5454,14,4
"Mujeres (011)",5086,5065,17,4
"De 15 a 29 años (012)",13174,13157,13,4
"Hombres (013)",6993,6989,3,1
"Mujeres (014)",6181,6168,10,3
"De 30 a 44 años (015)",10021,9993,23,5
"Hombres (016)",5599,5594,4,1
"Mujeres (017)",4422,4399,19,4
"De 45 a 64 años (018)",6023,5969,50,4
"Hombres (019)",3453,3443,7,3
"Mujeres (020)",2570,2526,43,1
"De 65 a más años (021)",2032,1916,108,8
"Hombres (022)",1040,1022,18,
"Mujeres (023)",992,894,90,8
,,,,
"URBANA (024)",27181,26637,379,165
"Hombres (025)",14321,14096,153,72
"Mujeres (026)",12860,12541,226,93
"Menores de 1 año (027)",548,443,83,22
"Hombres (028)",266,217,43,6
"Mujeres (029)",282,226,40,16
"De 1 a 5 años (030)",3093,2783,175,135
"Hombres (031)",1583,1432,87,64
"Mujeres (032)",1510,1351,88,71
"De 6 a 14 años (033)",5563,5550,11,2
"Hombres (034)",2893,2887,5,1
"Mujeres (035)",2670,2663,6,1
"De 15 a 29 años (036)",7162,7154,8,
"Hombres (037)",3737,3736,1,
"Mujeres (038)",3425,3418,7,
"De 30 a 44 años (039)",5883,5867,14,2
"Hombres (040)",3169,3165,3,1
"Mujeres (041)",2714,2702,11,1
"De 45 a 64 años (042)",3650,3626,24,
"Hombres (043)",2046,2042,4,
"Mujeres (044)",1604,1584,20,
"De 65 a más años (045)",1282,1214,64,4
"Hombres (046)",627,617,10,
"Mujeres (047)",655,597,54,4
,,,,
"RURAL (048)",22112,21382,556,174
"Hombres (049)",12040,11697,252,91
"Mujeres (050)",10072,9685,304,83
"Menores de 1 año (051)",617,394,179,44
"Hombres (052)",318,201,92,25
"Mujeres (053)",299,193,87,19
"De 1 a 5 años (054)",3227,2845,273,109
"Hombres (055)",1637,1441,137,59
"Mujeres (056)",1590,1404,136,50
"De 6 a 14 años (057)",4995,4969,20,6
"Hombres (058)",2579,2567,9,3
"Mujeres (059)",2416,2402,11,3
"De 15 a 29 años (060)",6012,6003,5,4
"Hombres (061)",3256,3253,2,1
"Mujeres (062)",2756,2750,3,3
"De 30 a 44 años (063)",4138,4126,9,3
"Hombres (064)",2430,2429,1,
"Mujeres (065)",1708,1697,8,3
"De 45 a 64 años (066)",2373,2343,26,4
"Hombres (067)",1407,1401,3,3
"Mujeres (068)",966,942,23,1
"De 65 a más años (069)",750,702,44,4
"Hombres (070)",413,405,8,
"Mujeres (071)",337,297,36,4
