"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUAYTARA (000)",8262,5903,517,493,1349
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",33,,1,1,31
"Profes., científicos e intelectuales (002)",613,246,184,73,110
"Técnicos de nivel medio y trab. asimilados (003)",143,44,17,12,70
"Jefes y empleados de oficina (004)",133,17,8,15,93
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",462,413,11,26,12
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2650,2608,41,,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",744,99,43,152,450
"Obreros construc.,conf.,papel, fab., instr. (008)",475,214,54,47,160
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2770,2097,119,162,392
"Otra (010)",25,,,,25
"Ocupación no especificada (011)",214,165,39,5,5
"Hombres (012)",5938,3893,386,444,1215
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",27,,1,1,25
"Profes., científicos e intelectuales (014)",325,107,102,38,78
"Técnicos de nivel medio y trab. asimilados (015)",104,30,13,11,50
"Jefes y empleados de oficina (016)",86,13,5,13,55
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",206,172,3,24,7
"Agricult.trabaj.calif.agrop.y pesqueros (018)",2016,1985,30,,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",725,88,43,151,443
"Obreros construc.,conf.,papel, fab., instr. (020)",468,211,53,46,158
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1831,1206,101,156,368
"Otra (022)",25,,,,25
"Ocupación no especificada (023)",125,81,35,4,5
"Mujeres (024)",2324,2010,131,49,134
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",6,,,,6
"Profes., científicos e intelectuales (026)",288,139,82,35,32
"Técnicos de nivel medio y trab. asimilados (027)",39,14,4,1,20
"Jefes y empleados de oficina (028)",47,4,3,2,38
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",256,241,8,2,5
"Agricult.trabaj.calif.agrop.y pesqueros (030)",634,623,11,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",19,11,,1,7
"Obreros construc.,conf.,papel, fab., instr. (032)",7,3,1,1,2
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",939,891,18,6,24
