"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia ESPINAR (000)",22317,66051,56023,,1130,84.8,1.7
"De 12 a 14 años (001)",2498,7,5,,1,71.4,14.3
"De 15 a 19 años (002)",3019,357,352,107,98.6,30,
"De 20 a 24 años (003)",2646,2255,2173,334,96.4,14.8,
"De 25 a 29 años (004)",2245,4085,3882,278,95,6.8,
"De 30 a 34 años (005)",2075,5834,5449,190,93.4,3.3,
"De 35 a 39 años (006)",1855,6964,6435,137,92.4,2,
"De 40 a 44 años (007)",1647,8059,7187,67,89.2,0.8,
"De 45 a 49 años (008)",1325,7398,6471,16,87.5,0.2,
"De 50 y más años (009)",5007,31092,24069,,77.4,,
"Conviviente (010)",5150,12403,11558,693,93.2,5.6,
"De 12 a 14 años (011)",20,1,1,,100,,
"De 15 a 19 años (012)",443,269,265,90,98.5,33.5,
"De 20 a 24 años (013)",1267,1619,1569,260,96.9,16.1,
"De 25 a 29 años (014)",1172,2386,2273,168,95.3,7,
"De 30 a 34 años (015)",870,2384,2259,85,94.8,3.6,
"De 35 a 39 años (016)",622,2203,2074,66,94.1,3,
"De 40 a 44 años (017)",346,1491,1353,20,90.7,1.3,
"De 45 a 49 años (018)",152,744,673,4,90.5,0.5,
"De 50 y más años (019)",258,1306,1091,,83.5,,
"Separado(a) (020)",755,2116,1897,37,89.7,1.7,
"De 12 a 14 años (021)",2,1,1,1,100,100,
"De 15 a 19 años (022)",30,31,31,6,100,19.4,
"De 20 a 24 años (023)",93,118,116,11,98.3,9.3,
"De 25 a 29 años (024)",101,178,171,10,96.1,5.6,
"De 30 a 34 años (025)",114,243,222,4,91.4,1.6,
"De 35 a 39 años (026)",97,290,270,3,93.1,1,
"De 40 a 44 años (027)",67,223,201,1,90.1,0.4,
"De 45 a 49 años (028)",67,254,232,1,91.3,0.4,
"De 50 y más años (029)",184,778,653,,83.9,,
"Casado(a) (030)",7447,40319,34051,345,84.5,0.9,
"De 12 a 14 años (031)",4,2,2,,100,,
"De 15 a 19 años (032)",24,14,14,2,100,14.3,
"De 20 a 24 años (033)",203,374,347,40,92.8,10.7,
"De 25 a 29 años (034)",512,1351,1272,85,94.2,6.3,
"De 30 a 34 años (035)",836,2952,2728,96,92.4,3.3,
"De 35 a 39 años (036)",964,4169,3803,66,91.2,1.6,
