"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PALPA (000)",5170,148,,1073,2386,340,572,190,461
"Agric., ganadería, caza y silvicultura (001)",2403,102,,729,1168,124,145,64,71
"Pesca (002)",5,,,2,2,1,,,
"Explotación de minas y canteras (003)",303,4,,55,199,15,13,10,7
"Industrias manufactureras (004)",133,1,,25,60,13,15,5,14
"Suministro de electricidad, gas y agua (005)",8,,,1,4,,1,,2
"Construcción (006)",175,2,,15,108,16,15,9,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",678,21,,126,312,53,85,33,48
"Venta, mant.y rep. veh.autom.y motoc. (008)",64,2,,4,38,10,4,1,5
"Comercio al por mayor (009)",30,1,,5,10,4,5,1,4
"Comercio al por menor (010)",584,18,,117,264,39,76,31,39
"Hoteles y restaurantes (011)",195,6,,33,106,13,24,6,7
"Trans., almac. y comunicaciones (012)",258,3,,17,151,27,30,12,18
"Intermediación financiera (013)",12,,,,3,1,5,,3
"Activid.inmobil., empres. y de alquiler (014)",130,1,,5,32,18,25,13,36
"Admin.pub. y defensa; p. segur.soc.afil (015)",148,,,8,48,10,27,13,42
"Enseñanza (016)",281,,,,14,13,106,4,144
"Servicios sociales y de salud (017)",118,,,1,16,11,42,3,45
"Otras activ. serv.comun.soc y personales (018)",95,2,,11,39,11,20,10,2
"Hogares privados con servicio doméstico (019)",87,2,,13,56,5,8,2,1
"Actividad economica no especificada (021)",141,4,,32,68,9,11,6,11
"Hombres (022)",3444,69,,737,1732,214,281,144,267
"Agric., ganadería, caza y silvicultura (023)",1785,49,,531,908,84,94,56,63
"Pesca (024)",5,,,2,2,1,,,
"Explotación de minas y canteras (025)",278,3,,50,183,15,11,9,7
"Industrias manufactureras (026)",93,1,,19,44,8,8,4,9
"Suministro de electricidad, gas y agua (027)",7,,,1,4,,,,2
"Construcción (028)",172,2,,15,107,16,15,8,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",311,5,,55,152,23,33,20,23
"Venta, mant.y rep. veh.autom.y motoc. (030)",58,2,,4,35,9,3,1,4
"Comercio al por mayor (031)",21,,,3,7,3,4,1,3
"Comercio al por menor (032)",232,3,,48,110,11,26,18,16
"Hoteles y restaurantes (033)",49,3,,12,23,3,4,1,3
"Trans., almac. y comunicaciones (034)",237,3,,17,144,24,26,11,12
"Intermediación financiera (035)",4,,,,2,,,,2
"Activid.inmobil., empres. y de alquiler (036)",102,1,,5,29,14,18,10,25
"Admin.pub. y defensa; p. segur.soc.afil (037)",104,,,8,41,7,11,8,29
"Enseñanza (038)",93,,,,8,1,28,3,53
"Servicios sociales y de salud (039)",50,,,,7,4,18,1,20
"Otras activ. serv.comun.soc y personales (040)",58,,,3,27,8,9,9,2
"Hogares privados con servicio doméstico (041)",13,1,,2,9,1,,,
"Actividad economica no especificada (043)",83,1,,17,42,5,6,4,8
"Mujeres (044)",1726,79,,336,654,126,291,46,194
"Agric., ganadería, caza y silvicultura (045)",618,53,,198,260,40,51,8,8
"Explotación de minas y canteras (047)",25,1,,5,16,,2,1,
