"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PUERTO INCA (000)",10588,9497,553,180,358
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",16,,1,1,14
"Profes., científicos e intelectuales (002)",429,142,87,56,144
"Técnicos de nivel medio y trab. asimilados (003)",99,46,11,3,39
"Jefes y empleados de oficina (004)",76,11,2,8,55
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",463,430,21,5,7
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4894,4772,120,1,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",288,230,47,9,2
"Obreros construc.,conf.,papel, fab., instr. (008)",262,199,20,25,18
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",3870,3513,238,67,52
"Otra (010)",26,,,,26
"Ocupación no especificada (011)",165,154,6,5,
"Hombres (012)",8586,7756,446,137,247
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",13,,1,1,11
"Profes., científicos e intelectuales (014)",238,72,51,33,82
"Técnicos de nivel medio y trab. asimilados (015)",68,34,9,3,22
"Jefes y empleados de oficina (016)",47,8,1,5,33
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",193,166,15,5,7
"Agricult.trabaj.calif.agrop.y pesqueros (018)",4585,4474,111,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",269,212,47,8,2
"Obreros construc.,conf.,papel, fab., instr. (020)",260,197,20,25,18
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",2847,2561,188,52,46
"Otra (022)",26,,,,26
"Ocupación no especificada (023)",40,32,3,5,
"Mujeres (024)",2002,1741,107,43,111
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",3,,,,3
"Profes., científicos e intelectuales (026)",191,70,36,23,62
"Técnicos de nivel medio y trab. asimilados (027)",31,12,2,,17
"Jefes y empleados de oficina (028)",29,3,1,3,22
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",270,264,6,,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",309,298,9,1,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",19,18,,1,
"Obreros construc.,conf.,papel, fab., instr. (032)",2,2,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1023,952,50,15,6
"Ocupación no especificada (035)",125,122,3,,
