"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia RECUAY (000)",4906,18746,2740,10563,2166,8183
"Casa independiente (001)",4573,17754,2680,10354,1893,7400
"Vivienda en quinta (003)",8,27,8,27,,
"Vivienda en casa de vecindad (004)",44,154,44,154,,
"Choza o cabaña (005)",273,783,,,273,783
"Vivienda improvisada (006)",4,18,4,18,,
"Local no dest.para hab. humana (007)",4,10,4,10,,
