"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ICA (000)",129962,65092,12179,15394,37297
"Hombres (001)",80799,41960,8348,9191,21300
"Mujeres (002)",49163,23132,3831,6203,15997
"De 06 a 14 años (003)",1159,906,128,83,42
"Hombres (004)",784,607,93,52,32
"Mujeres (005)",375,299,35,31,10
"De 15 a 29 años (006)",44750,20582,4665,5381,14122
"Hombres (007)",28041,13412,3162,3261,8206
"Mujeres (008)",16709,7170,1503,2120,5916
"De 30 a 44 años (009)",47885,22613,4435,6130,14707
"Hombres (010)",28430,14181,2956,3493,7800
"Mujeres (011)",19455,8432,1479,2637,6907
"De 45 a 64 años (012)",31554,17418,2663,3531,7942
"Hombres (013)",20006,11093,1886,2162,4865
"Mujeres (014)",11548,6325,777,1369,3077
"De 65 y más años (015)",4614,3573,288,269,484
"Hombres (016)",3538,2667,251,223,397
"Mujeres (017)",1076,906,37,46,87
,,,,,
"URBANA (018)",118522,60622,11078,14271,32551
"Hombres (019)",72860,38612,7506,8411,18331
"Mujeres (020)",45662,22010,3572,5860,14220
"De 06 a 14 años (021)",1109,873,122,77,37
"Hombres (022)",748,585,89,47,27
"Mujeres (023)",361,288,33,30,10
"De 15 a 29 años (024)",40249,19301,4232,4957,11759
"Hombres (025)",25032,12486,2836,2962,6748
"Mujeres (026)",15217,6815,1396,1995,5011
"De 30 a 44 años (027)",44007,21194,4051,5707,13055
"Hombres (028)",25851,13156,2668,3206,6821
"Mujeres (029)",18156,8038,1383,2501,6234
"De 45 a 64 años (030)",29063,16101,2420,3282,7260
"Hombres (031)",18151,10087,1693,1991,4380
"Mujeres (032)",10912,6014,727,1291,2880
"De 65 y más años (033)",4094,3153,253,248,440
"Hombres (034)",3078,2298,220,205,355
"Mujeres (035)",1016,855,33,43,85
,,,,,
"RURAL (036)",11440,4470,1101,1123,4746
"Hombres (037)",7939,3348,842,780,2969
"Mujeres (038)",3501,1122,259,343,1777
"De 06 a 14 años (039)",50,33,6,6,5
"Hombres (040)",36,22,4,5,5
"Mujeres (041)",14,11,2,1,
"De 15 a 29 años (042)",4501,1281,433,424,2363
"Hombres (043)",3009,926,326,299,1458
"Mujeres (044)",1492,355,107,125,905
"De 30 a 44 años (045)",3878,1419,384,423,1652
"Hombres (046)",2579,1025,288,287,979
"Mujeres (047)",1299,394,96,136,673
"De 45 a 64 años (048)",2491,1317,243,249,682
"Hombres (049)",1855,1006,193,171,485
"Mujeres (050)",636,311,50,78,197
"De 65 y más años (051)",520,420,35,21,44
"Hombres (052)",460,369,31,18,42
"Mujeres (053)",60,51,4,3,2
