"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CAYLLOMA (000)",32911,632,10954,11418,7609,2298
"Agric., ganadería, caza y silvicultura (001)",18212,379,5083,5772,5047,1931
"Pesca (002)",36,2,14,11,8,1
"Explotación de minas y canteras (003)",800,,361,346,90,3
"Industrias manufactureras (004)",1584,28,774,548,188,46
"Suministro de electricidad, gas y agua (005)",49,,19,24,6,
"Construcción (006)",1665,6,645,631,343,40
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3793,63,1286,1516,792,136
"Venta, mant.y rep. veh.autom.y motoc. (008)",339,2,169,108,53,7
"Comercio al por mayor (009)",208,5,91,80,30,2
"Comercio al por menor (010)",3246,56,1026,1328,709,127
"Hoteles y restaurantes (011)",1382,48,624,439,245,26
"Trans., almac. y comunicaciones (012)",1446,19,584,580,246,17
"Intermediación financiera (013)",24,,13,7,4,
"Activid.inmobil., empres. y alquileres (014)",615,2,264,233,100,16
"Admin.pub. y defensa; p. segur.soc.afil (015)",528,,158,262,104,4
"Enseñanza (016)",759,,220,398,135,6
"Servicios sociales y de salud (017)",342,,153,145,41,3
"Otras activ. serv.comun.soc y personales (018)",611,25,282,195,98,11
"Hogares privados con servicio doméstico (019)",309,37,190,53,23,6
"Actividad economica no especificada (021)",756,23,284,258,139,52
"Hombres (022)",20176,393,6504,6893,4873,1513
"Agric., ganadería, caza y silvicultura (023)",11451,253,3109,3533,3267,1289
"Pesca (024)",33,2,14,9,7,1
"Explotación de minas y canteras (025)",769,,349,329,88,3
"Industrias manufactureras (026)",992,21,482,341,123,25
"Suministro de electricidad, gas y agua (027)",47,,18,23,6,
"Construcción (028)",1566,5,598,598,328,37
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1484,36,481,552,337,78
"Venta, mant.y rep. veh.autom.y motoc. (030)",310,2,153,99,49,7
"Comercio al por mayor (031)",114,5,43,47,17,2
"Comercio al por menor (032)",1060,29,285,406,271,69
"Hoteles y restaurantes (033)",427,21,235,106,58,7
"Trans., almac. y comunicaciones (034)",1334,15,510,550,242,17
"Intermediación financiera (035)",15,,7,5,3,
"Activid.inmobil., empres. y alquileres (036)",432,1,165,170,80,16
"Admin.pub. y defensa; p. segur.soc.afil (037)",395,,98,209,85,3
"Enseñanza (038)",325,,66,169,87,3
"Servicios sociales y de salud (039)",148,,53,71,21,3
