"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAÑETE (000)",82659,51309,9779,10101,11470
"Hombres (001)",53037,32378,6892,6440,7327
"Mujeres (002)",29622,18931,2887,3661,4143
"De 06 a 14 años (003)",934,758,105,60,11
"Hombres (004)",606,489,76,34,7
"Mujeres (005)",328,269,29,26,4
"De 15 a 29 años (006)",27334,15781,3863,3884,3806
"Hombres (007)",17889,10134,2794,2545,2416
"Mujeres (008)",9445,5647,1069,1339,1390
"De 30 a 44 años (009)",30018,17424,3496,4022,5076
"Hombres (010)",18495,10446,2373,2469,3207
"Mujeres (011)",11523,6978,1123,1553,1869
"De 45 a 64 años (012)",20267,13750,2063,1997,2457
"Hombres (013)",13079,8722,1457,1287,1613
"Mujeres (014)",7188,5028,606,710,844
"De 65 y más años (015)",4106,3596,252,138,120
"Hombres (016)",2968,2587,192,105,84
"Mujeres (017)",1138,1009,60,33,36
,,,,,
"URBANA (018)",68954,42172,8070,8662,10050
"Hombres (019)",43378,26007,5706,5409,6256
"Mujeres (020)",25576,16165,2364,3253,3794
"De 06 a 14 años (021)",797,655,84,47,11
"Hombres (022)",516,420,62,27,7
"Mujeres (023)",281,235,22,20,4
"De 15 a 29 años (024)",22893,13117,3196,3274,3306
"Hombres (025)",14778,8314,2305,2109,2050
"Mujeres (026)",8115,4803,891,1165,1256
"De 30 a 44 años (027)",25252,14426,2868,3488,4470
"Hombres (028)",15242,8437,1964,2086,2755
"Mujeres (029)",10010,5989,904,1402,1715
"De 45 a 64 años (030)",16816,11202,1720,1734,2160
"Hombres (031)",10598,6908,1220,1097,1373
"Mujeres (032)",6218,4294,500,637,787
"De 65 y más años (033)",3196,2772,202,119,103
"Hombres (034)",2244,1928,155,90,71
"Mujeres (035)",952,844,47,29,32
,,,,,
"RURAL (036)",13705,9137,1709,1439,1420
"Hombres (037)",9659,6371,1186,1031,1071
"Mujeres (038)",4046,2766,523,408,349
"De 06 a 14 años (039)",137,103,21,13,
"Hombres (040)",90,69,14,7,
"Mujeres (041)",47,34,7,6,
"De 15 a 29 años (042)",4441,2664,667,610,500
"Hombres (043)",3111,1820,489,436,366
"Mujeres (044)",1330,844,178,174,134
"De 30 a 44 años (045)",4766,2998,628,534,606
"Hombres (046)",3253,2009,409,383,452
"Mujeres (047)",1513,989,219,151,154
"De 45 a 64 años (048)",3451,2548,343,263,297
"Hombres (049)",2481,1814,237,190,240
"Mujeres (050)",970,734,106,73,57
"De 65 y más años (051)",910,824,50,19,17
"Hombres (052)",724,659,37,15,13
"Mujeres (053)",186,165,13,4,4
