"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia TAYACAJA (000)",30312,39,1155,325,348,1592,11739,564,731,13114,78,627
"Agric., ganadería, caza y silvicultura (001)",23603,,8,8,,,11732,3,7,11845,,
"Pesca (002)",7,,,,,,7,,,,,
"Explotación de minas y canteras (003)",39,,1,5,1,,,15,3,14,,
"Industrias manufactureras (004)",448,,2,10,2,,,410,19,5,,
"Suministro de electricidad, gas y agua (005)",55,,5,15,4,,,14,6,11,,
"Construcción (006)",507,1,9,12,7,,,28,282,168,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1678,,2,23,4,1228,,81,9,331,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",77,,,7,,17,,45,8,,,
"Comercio al por mayor (009)",96,,,1,,93,,,,2,,
"Comercio al por menor (010)",1505,,2,15,4,1118,,36,1,329,,
"Hoteles y restaurantes (011)",514,,,22,5,266,,,,221,,
"Trans., almac. y comunicaciones (012)",463,,,15,11,,,1,384,52,,
"Intermediación financiera (013)",13,,2,4,5,,,,,2,,
"Activid.inmobil., empres. y alquileres (014)",191,,26,25,49,54,,7,4,26,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",490,31,27,21,212,10,,3,10,98,78,
"Enseñanza (016)",1006,7,962,7,14,,,1,,15,,
"Servicios sociales y de salud (017)",269,,104,103,20,9,,1,4,28,,
"Otras activ. serv.comun.soc y personales (018)",156,,7,51,7,25,,,3,63,,
"Hogares privados con servicio doméstico (019)",234,,,,,,,,,234,,
