"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia RIOJA (000)",24277,104454,17790,74824,6487,29630
"Casa independiente (001)",22588,98656,16334,69968,6254,28688
"Departamento en edificio (002)",62,206,62,206,,
"Vivienda en quinta (003)",776,2381,776,2381,,
"Vivienda en casa de vecindad (004)",332,1300,332,1300,,
"Choza o cabaña (005)",230,935,,,230,935
"Vivienda improvisada (006)",217,784,217,784,,
"Local no dest.para hab. humana (007)",66,170,63,163,3,7
"Otro tipo (008)",6,22,6,22,,
